Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5A	-7.9258E-7	1.4334E-7	1.7823E-6	0.00	90.00	0.00	0.00	169.75	65.68	1.9558E-6	-1.2318E-5	2.2661E-6	4.5174E-5	1.0843E-11	2.1592E-10	-1.5527E-10	1.7823E-6	NA	24932	3.80	0.00	-1.2318E-5	2.2659E-6	4.5174E-5	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	-2.6846E-7	-1.7612E-7	3.4172E-6	0.00	90.00	0.00	0.00	213.27	84.63	3.4322E-6	-4.1723E-6	-2.7839E-6	8.6612E-5	1.3758E-11	2.7399E-10	-1.9702E-10	3.4172E-6	NA	24932	3.80	0.01	-4.1724E-6	-2.7842E-6	8.6612E-5	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	1.0988E-6	-8.9210E-7	6.1821E-6	0.00	90.00	0.00	0.00	320.93	77.10	6.3421E-6	1.7078E-5	-1.4102E-5	1.5669E-4	1.6673E-11	3.3203E-10	-2.3875E-10	6.1821E-6	NA	24932	3.80	0.02	1.7078E-5	-1.4102E-5	1.5669E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	3.8031E-6	-2.2414E-6	1.0845E-5	0.00	90.00	0.00	0.00	329.49	67.85	1.1709E-5	5.9108E-5	-3.5431E-5	2.7487E-4	1.9409E-11	3.8652E-10	-2.7794E-10	1.0845E-5	NA	24932	3.80	0.03	5.9108E-5	-3.5431E-5	2.7487E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	7.2130E-6	-3.8666E-6	1.7453E-5	0.00	90.00	0.00	0.00	331.81	64.88	1.9277E-5	1.1210E-4	-6.1123E-5	4.4237E-4	2.2140E-11	4.4090E-10	-3.1704E-10	1.7453E-5	NA	24932	3.80	0.04	1.1210E-4	-6.1123E-5	4.4237E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	1.0184E-5	-4.9261E-6	2.6726E-5	0.00	90.00	0.00	0.00	334.19	67.06	2.9022E-5	1.5829E-4	-7.7871E-5	6.7739E-4	2.4873E-11	4.9532E-10	-3.5618E-10	2.6726E-5	NA	24932	3.80	0.05	1.5829E-4	-7.7872E-5	6.7739E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	1.1402E-5	-4.9692E-6	3.7162E-5	0.00	90.00	0.00	0.00	336.45	71.49	3.9188E-5	1.7721E-4	-7.8552E-5	9.4191E-4	2.7603E-11	5.4969E-10	-3.9527E-10	3.7162E-5	NA	24932	3.80	0.06	1.7721E-4	-7.8553E-5	9.4191E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	1.0942E-5	-4.0415E-6	4.7492E-5	0.00	90.00	0.00	0.00	339.73	76.20	4.8903E-5	1.7007E-4	-6.3887E-5	1.2037E-3	3.0521E-11	6.0781E-10	-4.3707E-10	4.7492E-5	NA	24932	3.80	0.07	1.7007E-4	-6.3888E-5	1.2037E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	9.1211E-6	-2.5486E-6	5.6877E-5	0.00	90.00	0.00	0.00	344.39	80.55	5.7660E-5	1.4176E-4	-4.0288E-5	1.4416E-3	3.3255E-11	6.6225E-10	-4.7621E-10	5.6877E-5	NA	24932	3.80	0.08	1.4176E-4	-4.0288E-5	1.4416E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	7.0740E-6	-1.2881E-6	6.4456E-5	0.00	90.00	0.00	0.00	349.68	83.63	6.4856E-5	1.0994E-4	-2.0361E-5	1.6337E-3	3.5987E-11	7.1665E-10	-5.1533E-10	6.4456E-5	NA	24932	3.80	0.09	1.0994E-4	-2.0362E-5	1.6337E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5A	5.4699E-6	-4.5041E-7	7.0836E-5	0.00	90.00	0.00	0.00	355.29	85.57	7.1048E-5	8.5013E-5	-7.1192E-6	1.7954E-3	3.8902E-11	7.7470E-10	-5.5707E-10	7.0836E-5	NA	24932	3.80	0.10	8.5013E-5	-7.1200E-6	1.7954E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
