Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5B	-8.7690E-7	1.5547E-7	3.2570E-6	0.00	90.00	0.00	0.00	169.95	74.71	3.3766E-6	-1.3629E-5	2.4579E-6	8.2552E-5	1.7110E-10	3.3823E-10	-1.6954E-10	3.2570E-6	NA	24947	3.80	0.00	-1.3629E-5	2.4576E-6	8.2553E-5	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	6.8332E-7	-2.8136E-7	6.2818E-6	0.00	90.00	0.00	0.00	337.62	83.29	6.3251E-6	1.0620E-5	-4.4473E-6	1.5922E-4	2.1749E-10	4.2993E-10	-2.1551E-10	6.2818E-6	NA	24947	3.80	0.01	1.0620E-5	-4.4477E-6	1.5922E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	4.0083E-6	-1.2612E-6	1.1105E-5	0.00	90.00	0.00	0.00	342.53	69.27	1.1874E-5	6.2296E-5	-1.9936E-5	2.8148E-4	2.6099E-10	5.1592E-10	-2.5861E-10	1.1105E-5	NA	24947	3.80	0.02	6.2296E-5	-1.9936E-5	2.8148E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	9.3308E-6	-3.0594E-6	1.8596E-5	0.00	90.00	0.00	0.00	341.85	62.16	2.1029E-5	1.4502E-4	-4.8362E-5	4.7134E-4	3.0737E-10	6.0761E-10	-3.0458E-10	1.8596E-5	NA	24947	3.80	0.03	1.4502E-4	-4.8363E-5	4.7134E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.5124E-5	-5.2248E-6	2.9851E-5	0.00	90.00	0.00	0.00	340.94	61.81	3.3869E-5	2.3506E-4	-8.2593E-5	7.5660E-4	3.5373E-10	6.9924E-10	-3.5051E-10	2.9851E-5	NA	24947	3.80	0.04	2.3506E-4	-8.2594E-5	7.5660E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.8442E-5	-6.5674E-6	4.4154E-5	0.00	90.00	0.00	0.00	340.40	66.09	4.8299E-5	2.8663E-4	-1.0382E-4	1.1191E-3	4.0015E-10	7.9101E-10	-3.9651E-10	4.4154E-5	NA	24947	3.80	0.05	2.8663E-4	-1.0382E-4	1.1191E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.8217E-5	-6.5943E-6	5.9104E-5	0.00	90.00	0.00	0.00	340.10	71.85	6.2198E-5	2.8314E-4	-1.0424E-4	1.4980E-3	4.4363E-10	8.7695E-10	-4.3959E-10	5.9104E-5	NA	24947	3.80	0.06	2.8314E-4	-1.0424E-4	1.4980E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.4457E-5	-5.0564E-6	7.2999E-5	0.00	90.00	0.00	0.00	340.72	78.15	7.4588E-5	2.2469E-4	-7.9931E-5	1.8502E-3	4.8713E-10	9.6294E-10	-4.8269E-10	7.2999E-5	NA	24947	3.80	0.07	2.2469E-4	-7.9932E-5	1.8502E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	9.0289E-6	-2.7642E-6	8.2822E-5	0.00	90.00	0.00	0.00	342.98	83.50	8.3358E-5	1.4033E-4	-4.3696E-5	2.0992E-3	5.3058E-10	1.0488E-9	-5.2575E-10	8.2822E-5	NA	24947	3.80	0.08	1.4033E-4	-4.3697E-5	2.0992E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	3.8741E-6	-6.6012E-7	8.9778E-5	0.00	90.00	0.00	0.00	350.33	87.49	8.9864E-5	6.0212E-5	-1.0434E-5	2.2755E-3	5.7704E-10	1.1407E-9	-5.7178E-10	8.9778E-5	NA	24947	3.80	0.09	6.0212E-5	-1.0435E-5	2.2755E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	3.6086E-7	7.6496E-7	9.3891E-5	0.00	90.00	0.00	0.00	64.75	89.48	9.3895E-5	5.6091E-6	1.2094E-5	2.3798E-3	6.2342E-10	1.2324E-9	-6.1775E-10	9.3891E-5	NA	24947	3.80	0.10	5.6085E-6	1.2093E-5	2.3798E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-1.9007E-6	1.5583E-6	9.5715E-5	0.00	90.00	0.00	0.00	140.65	88.53	9.5746E-5	-2.9540E-5	2.4634E-5	2.4260E-3	6.6981E-10	1.3241E-9	-6.6371E-10	9.5715E-5	NA	24947	3.80	0.11	-2.9541E-5	2.4633E-5	2.4260E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-3.0515E-6	1.6935E-6	9.5634E-5	0.00	90.00	0.00	0.00	150.97	87.91	9.5698E-5	-4.7426E-5	2.6773E-5	2.4239E-3	7.1327E-10	1.4100E-9	-7.0677E-10	9.5634E-5	NA	24947	3.80	0.12	-4.7427E-5	2.6772E-5	2.4239E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-3.2467E-6	1.3392E-6	9.4555E-5	0.00	90.00	0.00	0.00	157.58	87.87	9.4620E-5	-5.0460E-5	2.1172E-5	2.3966E-3	7.5964E-10	1.5016E-9	-7.5272E-10	9.4555E-5	NA	24947	3.80	0.13	-5.0461E-5	2.1170E-5	2.3966E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-2.7744E-6	7.5345E-7	9.3265E-5	0.00	90.00	0.00	0.00	164.81	88.23	9.3309E-5	-4.3119E-5	1.1912E-5	2.3639E-3	8.0460E-10	1.5905E-9	-7.9728E-10	9.3265E-5	NA	24947	3.80	0.14	-4.3120E-5	1.1911E-5	2.3639E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-2.1392E-6	2.6540E-7	9.2194E-5	0.00	90.00	0.00	0.00	172.93	88.66	9.2219E-5	-3.3247E-5	4.1972E-6	2.3367E-3	8.5095E-10	1.6821E-9	-8.4320E-10	9.2194E-5	NA	24947	3.80	0.15	-3.3248E-5	4.1955E-6	2.3368E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-1.7005E-6	-1.6322E-8	9.1325E-5	0.00	90.00	0.00	0.00	180.55	88.93	9.1341E-5	-2.6429E-5	-2.5625E-7	2.3147E-3	8.9305E-10	1.7654E-9	-8.8492E-10	9.1325E-5	NA	24947	3.80	0.16	-2.6429E-5	-2.5802E-7	2.3147E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-1.4317E-6	-1.4144E-7	9.0588E-5	0.00	90.00	0.00	0.00	185.64	89.09	9.0599E-5	-2.2250E-5	-2.2341E-6	2.2960E-3	9.3652E-10	1.8513E-9	-9.2799E-10	9.0588E-5	NA	24947	3.80	0.17	-2.2251E-5	-2.2359E-6	2.2960E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-1.2037E-6	-7.3107E-8	9.0021E-5	0.00	90.00	0.00	0.00	183.48	89.23	9.0029E-5	-1.8707E-5	-1.1537E-6	2.2817E-3	9.7999E-10	1.9372E-9	-9.7107E-10	9.0021E-5	NA	24947	3.80	0.18	-1.8708E-5	-1.1557E-6	2.2817E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-8.0469E-7	1.6353E-7	8.9578E-5	0.00	90.00	0.00	0.00	168.51	89.47	8.9581E-5	-1.2505E-5	2.5871E-6	2.2704E-3	1.0264E-9	2.0289E-9	-1.0170E-9	8.9578E-5	NA	24947	3.80	0.19	-1.2507E-5	2.5851E-6	2.2704E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-3.0271E-7	5.0845E-7	8.9228E-5	0.00	90.00	0.00	0.00	120.77	89.62	8.9230E-5	-4.7036E-6	8.0397E-6	2.2616E-3	1.0699E-9	2.1149E-9	-1.0601E-9	8.9228E-5	NA	24947	3.80	0.20	-4.7047E-6	8.0376E-6	2.2616E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	2.6434E-8	8.8755E-7	8.9092E-5	0.00	90.00	0.00	0.00	88.29	89.43	8.9097E-5	4.1195E-7	1.4033E-5	2.2581E-3	1.1133E-9	2.2008E-9	-1.1032E-9	8.9092E-5	NA	24947	3.80	0.21	4.1084E-7	1.4030E-5	2.2581E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.9668E-7	1.1988E-6	8.9184E-5	0.00	90.00	0.00	0.00	80.68	89.22	8.9192E-5	3.0579E-6	1.8953E-5	2.2605E-3	1.1568E-9	2.2868E-9	-1.1463E-9	8.9184E-5	NA	24947	3.80	0.22	3.0568E-6	1.8951E-5	2.2605E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	1.0624E-7	1.4000E-6	8.9306E-5	0.00	90.00	0.00	0.00	85.66	89.10	8.9317E-5	1.6523E-6	2.2133E-5	2.2635E-3	1.2032E-9	2.3785E-9	-1.1923E-9	8.9306E-5	NA	24947	3.80	0.23	1.6511E-6	2.2131E-5	2.2635E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-1.3700E-7	1.5492E-6	8.9281E-5	0.00	90.00	0.00	0.00	95.05	89.00	8.9294E-5	-2.1280E-6	2.4492E-5	2.2629E-3	1.2496E-9	2.4702E-9	-1.2382E-9	8.9281E-5	NA	24947	3.80	0.24	-2.1292E-6	2.4490E-5	2.2629E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	-8.7122E-8	1.5526E-6	8.9074E-5	0.00	90.00	0.00	0.00	93.21	89.00	8.9087E-5	-1.3528E-6	2.4545E-5	2.2577E-3	1.2960E-9	2.5619E-9	-1.2842E-9	8.9074E-5	NA	24947	3.80	0.25	-1.3540E-6	2.4543E-5	2.2577E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	2.6191E-7	1.3454E-6	8.8847E-5	0.00	90.00	0.00	0.00	78.98	89.12	8.8858E-5	4.0719E-6	2.1270E-5	2.2519E-3	1.3395E-9	2.6479E-9	-1.3273E-9	8.8847E-5	NA	24947	3.80	0.26	4.0706E-6	2.1267E-5	2.2519E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	5.8936E-7	9.9191E-7	8.8801E-5	0.00	90.00	0.00	0.00	59.28	89.26	8.8809E-5	9.1612E-6	1.5683E-5	2.2507E-3	1.3830E-9	2.7339E-9	-1.3704E-9	8.8801E-5	NA	24947	3.80	0.27	9.1599E-6	1.5680E-5	2.2508E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5B	6.8572E-7	5.9498E-7	8.8898E-5	0.00	90.00	0.00	0.00	40.95	89.41	8.8903E-5	1.0659E-5	9.4083E-6	2.2532E-3	1.4265E-9	2.8199E-9	-1.4135E-9	8.8898E-5	NA	24947	3.80	0.28	1.0657E-5	9.4055E-6	2.2532E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
