Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5C	-1.0373E-6	3.2075E-7	4.5449E-6	0.00	90.00	0.00	0.00	162.82	76.56	4.6728E-6	-1.6126E-5	5.0701E-6	1.1520E-4	-3.4326E-9	-3.4965E-10	-4.7704E-10	4.5449E-6	NA	25032	3.80	0.00	-1.6122E-5	5.0704E-6	1.1520E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	1.7234E-6	-5.7664E-7	8.7571E-6	0.00	90.00	0.00	0.00	341.50	78.28	8.9437E-6	2.6780E-5	-9.1159E-6	2.2196E-4	-4.2833E-9	-4.3631E-10	-5.9527E-10	8.7571E-6	NA	25032	3.80	0.01	2.6785E-5	-9.1155E-6	2.2196E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	7.7146E-6	-2.6632E-6	1.5937E-5	0.00	90.00	0.00	0.00	340.95	62.88	1.7905E-5	1.1990E-4	-4.2100E-5	4.0394E-4	-5.1509E-9	-5.2469E-10	-7.1585E-10	1.5937E-5	NA	25032	3.80	0.02	1.1990E-4	-4.2099E-5	4.0394E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	1.6622E-5	-6.1343E-6	2.6982E-5	0.00	90.00	0.00	0.00	339.74	56.71	3.2279E-5	2.5833E-4	-9.6972E-5	6.8389E-4	-6.0256E-9	-6.1378E-10	-8.3740E-10	2.6982E-5	NA	25032	3.80	0.03	2.5834E-4	-9.6971E-5	6.8389E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	2.5146E-5	-1.0140E-5	4.3159E-5	0.00	90.00	0.00	0.00	338.04	57.86	5.0969E-5	3.9081E-4	-1.6029E-4	1.0939E-3	-6.8770E-9	-7.0051E-10	-9.5573E-10	4.3159E-5	NA	25032	3.80	0.04	3.9081E-4	-1.6029E-4	1.0939E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	2.9179E-5	-1.2804E-5	6.4940E-5	0.00	90.00	0.00	0.00	336.31	63.86	7.2337E-5	4.5350E-4	-2.0240E-4	1.6460E-3	-7.7455E-9	-7.8898E-10	-1.0764E-9	6.4940E-5	NA	25032	3.80	0.05	4.5350E-4	-2.0240E-4	1.6460E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	2.6956E-5	-1.2823E-5	8.8094E-5	0.00	90.00	0.00	0.00	334.56	71.28	9.3014E-5	4.1895E-4	-2.0270E-4	2.2328E-3	-8.6190E-9	-8.7796E-10	-1.1978E-9	8.8094E-5	NA	25032	3.80	0.06	4.1895E-4	-2.0270E-4	2.2328E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	1.9095E-5	-9.7764E-6	1.0899E-4	0.00	90.00	0.00	0.00	332.89	78.87	1.1108E-4	2.9676E-4	-1.5455E-4	2.7625E-3	-9.4941E-9	-9.6710E-10	-1.3194E-9	1.0899E-4	NA	25032	3.80	0.07	2.9677E-4	-1.5455E-4	2.7625E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	9.4749E-6	-5.1246E-6	1.2455E-4	0.00	90.00	0.00	0.00	331.59	85.06	1.2502E-4	1.4725E-4	-8.1010E-5	3.1569E-3	-1.0343E-8	-1.0536E-9	-1.4375E-9	1.2455E-4	NA	25032	3.80	0.08	1.4726E-4	-8.1009E-5	3.1569E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	2.1425E-6	-8.0600E-7	1.3526E-4	0.00	90.00	0.00	0.00	339.38	89.03	1.3528E-4	3.3287E-5	-1.2742E-5	3.4283E-3	-1.1212E-8	-1.1421E-9	-1.5582E-9	1.3526E-4	NA	25032	3.80	0.09	3.3298E-5	-1.2741E-5	3.4283E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-2.2773E-6	2.2497E-6	1.4222E-4	0.00	90.00	0.00	0.00	135.35	88.71	1.4226E-4	-3.5406E-5	3.5563E-5	3.6047E-3	-1.2087E-8	-1.2312E-9	-1.6797E-9	1.4222E-4	NA	25032	3.80	0.10	-3.5394E-5	3.5564E-5	3.6047E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-3.9342E-6	3.6630E-6	1.4630E-4	0.00	90.00	0.00	0.00	137.04	87.90	1.4640E-4	-6.1158E-5	5.7903E-5	3.7080E-3	-1.2963E-8	-1.3204E-9	-1.8015E-9	1.4630E-4	NA	25032	3.80	0.11	-6.1145E-5	5.7904E-5	3.7080E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-3.5567E-6	3.6714E-6	1.4852E-4	0.00	90.00	0.00	0.00	134.09	88.03	1.4861E-4	-5.5292E-5	5.8035E-5	3.7644E-3	-1.3834E-8	-1.4092E-9	-1.9226E-9	1.4852E-4	NA	25032	3.80	0.12	-5.5278E-5	5.8037E-5	3.7644E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-2.4373E-6	2.9754E-6	1.5012E-4	0.00	90.00	0.00	0.00	129.32	88.53	1.5017E-4	-3.7896E-5	4.7033E-5	3.8050E-3	-1.4709E-8	-1.4983E-9	-2.0442E-9	1.5012E-4	NA	25032	3.80	0.13	-3.7881E-5	4.7035E-5	3.8050E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-1.2300E-6	2.2465E-6	1.5164E-4	0.00	90.00	0.00	0.00	118.70	89.03	1.5167E-4	-1.9132E-5	3.5511E-5	3.8436E-3	-1.5585E-8	-1.5875E-9	-2.1659E-9	1.5164E-4	NA	25032	3.80	0.14	-1.9116E-5	3.5513E-5	3.8436E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-4.3348E-7	1.8447E-6	1.5296E-4	0.00	90.00	0.00	0.00	103.22	89.29	1.5298E-4	-6.7536E-6	2.9159E-5	3.8770E-3	-1.6458E-8	-1.6765E-9	-2.2873E-9	1.5296E-4	NA	25032	3.80	0.15	-6.7371E-6	2.9160E-5	3.8770E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-5.0758E-7	1.8633E-6	1.5357E-4	0.00	90.00	0.00	0.00	105.24	89.28	1.5358E-4	-7.9061E-6	2.9453E-5	3.8924E-3	-1.7333E-8	-1.7656E-9	-2.4089E-9	1.5357E-4	NA	25032	3.80	0.16	-7.8888E-6	2.9455E-5	3.8924E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5C	-8.1217E-7	1.9427E-6	1.5355E-4	0.00	90.00	0.00	0.00	112.69	89.21	1.5357E-4	-1.2641E-5	3.0708E-5	3.8919E-3	-1.8207E-8	-1.8546E-9	-2.5303E-9	1.5355E-4	NA	25032	3.80	0.17	-1.2623E-5	3.0710E-5	3.8919E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
