Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5D	-1.0395E-6	4.7516E-7	3.7165E-6	0.00	90.00	0.00	0.00	155.43	72.91	3.8883E-6	-1.6156E-5	7.5112E-6	9.4197E-5	6.4610E-11	-1.8922E-10	-5.3420E-10	3.7165E-6	NA	24959	3.80	0.00	-1.6156E-5	7.5114E-6	9.4198E-5	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	1.0724E-6	-7.5470E-7	7.1883E-6	0.00	90.00	0.00	0.00	324.86	79.66	7.3069E-6	1.6667E-5	-1.1931E-5	1.8219E-4	8.2115E-11	-2.4048E-10	-6.7894E-10	7.1883E-6	NA	24959	3.80	0.01	1.6667E-5	-1.1930E-5	1.8219E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	5.8672E-6	-3.6683E-6	1.3121E-5	0.00	90.00	0.00	0.00	327.99	62.20	1.4834E-5	9.1188E-5	-5.7989E-5	3.3257E-4	9.8568E-11	-2.8866E-10	-8.1497E-10	1.3121E-5	NA	24959	3.80	0.02	9.1188E-5	-5.7989E-5	3.3258E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	1.3729E-5	-8.7847E-6	2.2572E-5	0.00	90.00	0.00	0.00	327.39	54.17	2.7842E-5	2.1338E-4	-1.3887E-4	5.7211E-4	1.1606E-10	-3.3990E-10	-9.5963E-10	2.2572E-5	NA	24959	3.80	0.03	2.1338E-4	-1.3887E-4	5.7211E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	2.1680E-5	-1.4662E-5	3.6677E-5	0.00	90.00	0.00	0.00	325.93	54.49	4.5058E-5	3.3695E-4	-2.3177E-4	9.2961E-4	1.3305E-10	-3.8964E-10	-1.1001E-9	3.6677E-5	NA	24959	3.80	0.04	3.3695E-4	-2.3177E-4	9.2961E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	2.5010E-5	-1.7917E-5	5.4321E-5	0.00	90.00	0.00	0.00	324.38	60.47	6.2428E-5	3.8870E-4	-2.8323E-4	1.3768E-3	1.5057E-10	-4.4094E-10	-1.2449E-9	5.4321E-5	NA	24959	3.80	0.05	3.8870E-4	-2.8323E-4	1.3768E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	2.2612E-5	-1.6946E-5	7.3398E-5	0.00	90.00	0.00	0.00	323.15	68.94	7.8650E-5	3.5143E-4	-2.6789E-4	1.8604E-3	1.6644E-10	-4.8742E-10	-1.3761E-9	7.3398E-5	NA	24959	3.80	0.06	3.5143E-4	-2.6789E-4	1.8604E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	1.4361E-5	-1.1636E-5	9.0253E-5	0.00	90.00	0.00	0.00	320.99	78.43	9.2127E-5	2.2320E-4	-1.8394E-4	2.2876E-3	1.8395E-10	-5.3871E-10	-1.5209E-9	9.0253E-5	NA	24959	3.80	0.07	2.2320E-4	-1.8394E-4	2.2876E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	4.3401E-6	-4.7386E-6	1.0095E-4	0.00	90.00	0.00	0.00	312.49	86.36	1.0115E-4	6.7454E-5	-7.4909E-5	2.5586E-3	2.0036E-10	-5.8676E-10	-1.6566E-9	1.0095E-4	NA	24959	3.80	0.08	6.7454E-5	-7.4908E-5	2.5586E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5D	-3.1230E-6	6.6709E-7	1.0702E-4	0.00	90.00	0.00	0.00	167.94	88.29	1.0707E-4	-4.8537E-5	1.0545E-5	2.7126E-3	2.1680E-10	-6.3492E-10	-1.7925E-9	1.0702E-4	NA	24959	3.80	0.09	-4.8538E-5	1.0545E-5	2.7126E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
