Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5E	-1.3927E-6	1.7207E-7	5.7882E-6	0.00	90.00	0.00	0.00	172.96	76.37	5.9559E-6	-2.1645E-5	1.4411E-6	1.4671E-4	4.0397E-10	-1.2790E-6	-3.5178E-10	5.7882E-6	NA	24971	3.80	0.00	-2.1645E-5	2.7201E-6	1.4671E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	2.1886E-6	-7.8638E-7	1.1133E-5	0.00	90.00	0.00	0.00	340.24	78.20	1.1373E-5	3.4015E-5	-1.4051E-5	2.8218E-4	5.1168E-10	-1.6200E-6	-4.4558E-10	1.1133E-5	NA	24971	3.80	0.01	3.4015E-5	-1.2431E-5	2.8218E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	9.6912E-6	-2.7949E-6	1.9721E-5	0.00	90.00	0.00	0.00	343.91	62.91	2.2151E-5	1.5062E-4	-4.6122E-5	4.9986E-4	6.1272E-10	-1.9399E-6	-5.3356E-10	1.9721E-5	NA	24971	3.80	0.02	1.5062E-4	-4.4182E-5	4.9986E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	2.2390E-5	-6.3475E-6	3.3864E-5	0.00	90.00	0.00	0.00	344.17	55.50	4.1090E-5	3.4798E-4	-1.0262E-4	8.5832E-4	7.2041E-10	-2.2809E-6	-6.2734E-10	3.3864E-5	NA	24971	3.80	0.03	3.4798E-4	-1.0034E-4	8.5832E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	3.4848E-5	-1.0233E-5	5.3951E-5	0.00	90.00	0.00	0.00	343.64	56.05	6.5037E-5	5.4160E-4	-1.6436E-4	1.3674E-3	8.2129E-10	-2.6002E-6	-7.1519E-10	5.3951E-5	NA	24971	3.80	0.04	5.4160E-4	-1.6176E-4	1.3674E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	4.0356E-5	-1.1958E-5	8.1316E-5	0.00	90.00	0.00	0.00	343.49	62.63	9.1563E-5	6.2721E-4	-1.9196E-4	2.0610E-3	9.2225E-10	-2.9199E-6	-8.0310E-10	8.1316E-5	NA	24971	3.80	0.05	6.2721E-4	-1.8904E-4	2.0610E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	3.5949E-5	-1.0311E-5	1.0869E-4	0.00	90.00	0.00	0.00	344.00	71.01	1.1494E-4	5.5871E-4	-1.6623E-4	2.7548E-3	1.0232E-9	-3.2394E-6	-8.9097E-10	1.0869E-4	NA	24971	3.80	0.06	5.5871E-4	-1.6299E-4	2.7548E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	2.2451E-5	-5.7756E-6	1.3110E-4	0.00	90.00	0.00	0.00	345.57	79.97	1.3314E-4	3.4893E-4	-9.4860E-5	3.3229E-3	1.1241E-9	-3.5591E-6	-9.7891E-10	1.3110E-4	NA	24971	3.80	0.07	3.4893E-4	-9.1301E-5	3.3229E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	4.3703E-6	2.4245E-7	1.4477E-4	0.00	90.00	0.00	0.00	3.18	88.27	1.4483E-4	6.7924E-5	-4.6330E-8	3.6693E-3	1.2252E-9	-3.8790E-6	-1.0669E-9	1.4477E-4	NA	24971	3.80	0.08	6.7923E-5	3.8326E-6	3.6693E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-9.6614E-6	4.7902E-6	1.5006E-4	0.00	90.00	0.00	0.00	153.63	85.89	1.5044E-4	-1.5016E-4	7.1525E-5	3.8034E-3	1.3261E-9	-4.1984E-6	-1.1548E-9	1.5006E-4	NA	24971	3.80	0.09	-1.5016E-4	7.5723E-5	3.8034E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.7295E-5	7.3088E-6	1.4935E-4	0.00	90.00	0.00	0.00	157.09	82.83	1.5052E-4	-2.6879E-4	1.1100E-4	3.7853E-3	1.4338E-9	-4.5395E-6	-1.2486E-9	1.4935E-4	NA	24971	3.80	0.10	-2.6879E-4	1.1554E-4	3.7853E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.9033E-5	7.8037E-6	1.4495E-4	0.00	90.00	0.00	0.00	157.71	81.92	1.4640E-4	-2.9581E-4	1.1850E-4	3.6740E-3	1.5348E-9	-4.8592E-6	-1.3365E-9	1.4495E-4	NA	24971	3.80	0.11	-2.9581E-4	1.2336E-4	3.6740E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.6275E-5	6.7578E-6	1.3937E-4	0.00	90.00	0.00	0.00	157.45	82.79	1.4048E-4	-2.5295E-4	1.0165E-4	3.5326E-3	1.6357E-9	-5.1788E-6	-1.4244E-9	1.3937E-4	NA	24971	3.80	0.12	-2.5295E-4	1.0683E-4	3.5326E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.0768E-5	4.8321E-6	1.3439E-4	0.00	90.00	0.00	0.00	155.83	84.98	1.3491E-4	-1.6736E-4	7.0887E-5	3.4062E-3	1.7367E-9	-5.4984E-6	-1.5123E-9	1.3439E-4	NA	24971	3.80	0.13	-1.6736E-4	7.6385E-5	3.4062E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-5.0271E-6	2.8659E-6	1.3138E-4	0.00	90.00	0.00	0.00	150.31	87.48	1.3151E-4	-7.8130E-5	3.9486E-5	3.3299E-3	1.8377E-9	-5.8184E-6	-1.6003E-9	1.3138E-4	NA	24971	3.80	0.14	-7.8132E-5	4.5305E-5	3.3299E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-3.8080E-7	1.3276E-6	1.3045E-4	0.00	90.00	0.00	0.00	106.00	89.39	1.3046E-4	-5.9164E-6	1.4850E-5	3.3064E-3	1.9386E-9	-6.1377E-6	-1.6881E-9	1.3045E-4	NA	24971	3.80	0.15	-5.9183E-6	2.0987E-5	3.3064E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	2.5855E-6	2.7831E-7	1.3122E-4	0.00	90.00	0.00	0.00	6.14	88.86	1.3125E-4	4.0185E-5	-2.0578E-6	3.3260E-3	2.0395E-9	-6.4572E-6	-1.7760E-9	1.3122E-4	NA	24971	3.80	0.16	4.0183E-5	4.3995E-6	3.3260E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	4.0690E-6	-4.9386E-7	1.3303E-4	0.00	90.00	0.00	0.00	353.08	88.24	1.3310E-4	6.3242E-5	-1.4584E-5	3.3718E-3	2.1406E-9	-6.7772E-6	-1.8640E-9	1.3303E-4	NA	24971	3.80	0.17	6.3240E-5	-7.8069E-6	3.3718E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	4.5715E-6	-1.2700E-6	1.3570E-4	0.00	90.00	0.00	0.00	344.47	88.00	1.3578E-4	7.1052E-5	-2.7173E-5	3.4395E-3	2.2414E-9	-7.0965E-6	-1.9519E-9	1.3570E-4	NA	24971	3.80	0.18	7.1050E-5	-2.0076E-5	3.4395E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	4.1749E-6	-1.8768E-6	1.3894E-4	0.00	90.00	0.00	0.00	335.79	88.11	1.3901E-4	6.4888E-5	-3.7084E-5	3.5216E-3	2.3425E-9	-7.4163E-6	-2.0398E-9	1.3894E-4	NA	24971	3.80	0.19	6.4886E-5	-2.9668E-5	3.5216E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	3.1820E-6	-2.0783E-6	1.4250E-4	0.00	90.00	0.00	0.00	326.85	88.47	1.4255E-4	4.9457E-5	-4.0590E-5	3.6119E-3	2.4435E-9	-7.7361E-6	-2.1278E-9	1.4250E-4	NA	24971	3.80	0.20	4.9454E-5	-3.2854E-5	3.6119E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	1.5636E-6	-1.7008E-6	1.4587E-4	0.00	90.00	0.00	0.00	312.59	89.09	1.4589E-4	2.4303E-5	-3.4942E-5	3.6973E-3	2.5443E-9	-8.0555E-6	-2.2156E-9	1.4587E-4	NA	24971	3.80	0.21	2.4301E-5	-2.6886E-5	3.6973E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-3.3474E-7	-8.8351E-7	1.4858E-4	0.00	90.00	0.00	0.00	249.25	89.64	1.4858E-4	-5.2000E-6	-2.2342E-5	3.7658E-3	2.6454E-9	-8.3756E-6	-2.3037E-9	1.4858E-4	NA	24971	3.80	0.22	-5.2026E-6	-1.3967E-5	3.7658E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.7030E-6	-4.9853E-8	1.5050E-4	0.00	90.00	0.00	0.00	181.68	89.35	1.5051E-4	-2.6466E-5	-9.4829E-6	3.8146E-3	2.7463E-9	-8.6948E-6	-2.3915E-9	1.5050E-4	NA	24971	3.80	0.23	-2.6468E-5	-7.8808E-7	3.8146E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-2.3164E-6	7.5284E-7	1.5197E-4	0.00	90.00	0.00	0.00	162.00	89.08	1.5199E-4	-3.5999E-5	2.8864E-6	3.8517E-3	2.8472E-9	-9.0144E-6	-2.4794E-9	1.5197E-4	NA	24971	3.80	0.24	-3.6002E-5	1.1901E-5	3.8517E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-2.1696E-6	1.4504E-6	1.5318E-4	0.00	90.00	0.00	0.00	146.24	89.02	1.5320E-4	-3.3716E-5	1.3594E-5	3.8824E-3	2.9483E-9	-9.3344E-6	-2.5674E-9	1.5318E-4	NA	24971	3.80	0.25	-3.3719E-5	2.2928E-5	3.8824E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-1.5713E-6	-5.0863E-7	1.5450E-4	0.00	90.00	0.00	0.00	197.94	89.39	1.5451E-4	-2.4417E-5	-1.7694E-5	3.9160E-3	3.0492E-9	-9.6539E-6	-2.6553E-9	1.5450E-4	NA	24971	3.80	0.26	-2.4420E-5	-8.0405E-6	3.9160E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-8.8552E-7	-1.3322E-7	1.5586E-4	0.00	90.00	0.00	0.00	188.56	89.67	1.5587E-4	-1.3760E-5	-1.2079E-5	3.9506E-3	3.1501E-9	-9.9735E-6	-2.7432E-9	1.5586E-4	NA	24971	3.80	0.27	-1.3763E-5	-2.1059E-6	3.9506E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5E	-4.3599E-7	-1.6913E-8	1.5718E-4	0.00	90.00	0.00	0.00	182.22	89.84	1.5718E-4	-6.7728E-6	-1.0582E-5	3.9838E-3	3.2578E-9	-1.0314E-5	-2.8369E-9	1.5718E-4	NA	24971	3.80	0.28	-6.7761E-6	-2.6737E-7	3.9838E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
