Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5F	-1.8311E-6	3.0764E-7	6.4847E-6	0.00	90.00	0.00	0.00	170.46	74.02	6.7453E-6	-2.8458E-5	4.8630E-6	1.6436E-4	3.7212E-10	-1.6191E-10	-4.9481E-10	6.4847E-6	NA	24984	3.80	0.00	-2.8459E-5	4.8632E-6	1.6436E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	1.7980E-6	-2.2047E-7	1.2728E-5	0.00	90.00	0.00	0.00	353.01	81.90	1.2856E-5	2.7946E-5	-3.4854E-6	3.2260E-4	4.7358E-10	-2.0606E-10	-6.2973E-10	1.2728E-5	NA	24984	3.80	0.01	2.7945E-5	-3.4852E-6	3.2260E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	9.9480E-6	-1.5823E-6	2.3286E-5	0.00	90.00	0.00	0.00	350.96	66.61	2.5371E-5	1.5461E-4	-2.5013E-5	5.9020E-4	5.7493E-10	-2.5015E-10	-7.6449E-10	2.3286E-5	NA	24984	3.80	0.02	1.5461E-4	-2.5013E-5	5.9020E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	2.2822E-5	-4.2856E-6	3.9600E-5	0.00	90.00	0.00	0.00	349.36	59.61	4.5906E-5	3.5470E-4	-6.7746E-5	1.0037E-3	6.7639E-10	-2.9430E-10	-8.9941E-10	3.9600E-5	NA	24984	3.80	0.03	3.5470E-4	-6.7746E-5	1.0037E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	3.5890E-5	-7.7606E-6	6.3384E-5	0.00	90.00	0.00	0.00	347.80	59.92	7.3252E-5	5.5781E-4	-1.2268E-4	1.6065E-3	7.7778E-10	-3.3841E-10	-1.0342E-9	6.3384E-5	NA	24984	3.80	0.04	5.5780E-4	-1.2268E-4	1.6065E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	4.2390E-5	-1.0230E-5	9.5537E-5	0.00	90.00	0.00	0.00	346.43	65.47	1.0502E-4	6.5883E-4	-1.6171E-4	2.4215E-3	8.7930E-10	-3.8258E-10	-1.1692E-9	9.5537E-5	NA	24984	3.80	0.05	6.5883E-4	-1.6171E-4	2.4215E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	3.9348E-5	-1.0548E-5	1.2960E-4	0.00	90.00	0.00	0.00	344.99	72.55	1.3585E-4	6.1155E-4	-1.6675E-4	3.2848E-3	9.8081E-10	-4.2675E-10	-1.3042E-9	1.2960E-4	NA	24984	3.80	0.06	6.1155E-4	-1.6675E-4	3.2848E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	2.7865E-5	-8.0834E-6	1.5921E-4	0.00	90.00	0.00	0.00	343.82	79.67	1.6184E-4	4.3308E-4	-1.2778E-4	4.0354E-3	1.0761E-9	-4.6819E-10	-1.4308E-9	1.5921E-4	NA	24984	3.80	0.07	4.3308E-4	-1.2778E-4	4.0354E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	1.1797E-5	-3.7316E-6	1.8090E-4	0.00	90.00	0.00	0.00	342.45	86.09	1.8132E-4	1.8335E-4	-5.8990E-5	4.5851E-3	1.1713E-9	-5.0963E-10	-1.5575E-9	1.8090E-4	NA	24984	3.80	0.08	1.8335E-4	-5.8989E-5	4.5851E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-4.8365E-7	-3.6997E-7	1.9357E-4	0.00	90.00	0.00	0.00	217.41	89.82	1.9357E-4	-7.5155E-6	-5.8491E-6	4.9063E-3	1.2666E-9	-5.5111E-10	-1.6842E-9	1.9357E-4	NA	24984	3.80	0.09	-7.5168E-6	-5.8485E-6	4.9063E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-7.0482E-6	1.3358E-6	2.0058E-4	0.00	90.00	0.00	0.00	169.27	87.95	2.0070E-4	-1.0954E-4	2.1116E-5	5.0838E-3	1.3619E-9	-5.9257E-10	-1.8109E-9	2.0058E-4	NA	24984	3.80	0.10	-1.0954E-4	2.1117E-5	5.0838E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-9.1619E-6	1.7922E-6	2.0391E-4	0.00	90.00	0.00	0.00	168.93	87.38	2.0412E-4	-1.4239E-4	2.8331E-5	5.1682E-3	1.4633E-9	-6.3667E-10	-1.9457E-9	2.0391E-4	NA	24984	3.80	0.11	-1.4239E-4	2.8331E-5	5.1682E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-8.5180E-6	1.6807E-6	2.0543E-4	0.00	90.00	0.00	0.00	168.84	87.58	2.0562E-4	-1.3239E-4	2.6567E-5	5.2069E-3	1.5648E-9	-6.8083E-10	-2.0807E-9	2.0543E-4	NA	24984	3.80	0.12	-1.3239E-4	2.6568E-5	5.2069E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-5.7719E-6	1.1741E-6	2.0639E-4	0.00	90.00	0.00	0.00	168.50	88.37	2.0648E-4	-8.9705E-5	1.8559E-5	5.2312E-3	1.6601E-9	-7.2230E-10	-2.2074E-9	2.0639E-4	NA	24984	3.80	0.13	-8.9707E-5	1.8560E-5	5.2312E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5F	-1.3277E-6	9.5669E-9	2.0800E-4	0.00	90.00	0.00	0.00	179.59	89.63	2.0801E-4	-2.0634E-5	1.5047E-7	5.2720E-3	1.7553E-9	-7.6375E-10	-2.3341E-9	2.0800E-4	NA	24984	3.80	0.14	-2.0636E-5	1.5123E-7	5.2720E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
