Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5G	-1.9417E-6	2.3925E-7	4.9807E-6	0.00	90.00	0.00	0.00	172.98	68.55	5.3511E-6	-3.0178E-5	3.7818E-6	1.2624E-4	3.0027E-10	-1.6331E-10	-2.9617E-10	4.9807E-6	NA	24996	3.80	0.00	-3.0178E-5	3.7820E-6	1.2624E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	5.3081E-7	-4.4876E-7	9.7686E-6	0.00	90.00	0.00	0.00	319.79	85.93	9.7933E-6	8.2502E-6	-7.0942E-6	2.4759E-4	3.8217E-10	-2.0785E-10	-3.7694E-10	9.7686E-6	NA	24996	3.80	0.01	8.2498E-6	-7.0940E-6	2.4759E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	6.3920E-6	-2.0246E-6	1.7953E-5	0.00	90.00	0.00	0.00	342.42	69.52	1.9165E-5	9.9345E-5	-3.2005E-5	4.5505E-4	4.5833E-10	-2.4928E-10	-4.5207E-10	1.7953E-5	NA	24996	3.80	0.02	9.9344E-5	-3.2005E-5	4.5505E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	1.6334E-5	-4.8422E-6	3.0654E-5	0.00	90.00	0.00	0.00	343.49	60.94	3.5071E-5	2.5387E-4	-7.6546E-5	7.7697E-4	5.3513E-10	-2.9105E-10	-5.2782E-10	3.0654E-5	NA	24996	3.80	0.03	2.5387E-4	-7.6545E-5	7.7697E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.8120E-5	-8.4163E-6	4.9633E-5	0.00	90.00	0.00	0.00	343.34	59.40	5.7662E-5	4.3704E-4	-1.3305E-4	1.2580E-3	6.1161E-10	-3.3264E-10	-6.0325E-10	4.9633E-5	NA	24996	3.80	0.04	4.3704E-4	-1.3304E-4	1.2580E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	3.5901E-5	-1.0627E-5	7.5636E-5	0.00	90.00	0.00	0.00	343.51	63.66	8.4395E-5	5.5798E-4	-1.6799E-4	1.9171E-3	6.9315E-10	-3.7699E-10	-6.8367E-10	7.5636E-5	NA	24996	3.80	0.05	5.5798E-4	-1.6799E-4	1.9171E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	3.5540E-5	-1.0342E-5	1.0488E-4	0.00	90.00	0.00	0.00	343.78	70.56	1.1122E-4	5.5236E-4	-1.6348E-4	2.6583E-3	7.6922E-10	-4.1836E-10	-7.5870E-10	1.0488E-4	NA	24996	3.80	0.06	5.5236E-4	-1.6348E-4	2.6583E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.6942E-5	-7.3758E-6	1.3212E-4	0.00	90.00	0.00	0.00	344.69	78.06	1.3504E-4	4.1873E-4	-1.1660E-4	3.3487E-3	8.4596E-10	-4.6010E-10	-8.3439E-10	1.3212E-4	NA	24996	3.80	0.07	4.1873E-4	-1.1660E-4	3.3487E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	1.4095E-5	-2.9232E-6	1.5158E-4	0.00	90.00	0.00	0.00	348.28	84.58	1.5227E-4	2.1907E-4	-4.6211E-5	3.8420E-3	9.2248E-10	-5.0171E-10	-9.0986E-10	1.5158E-4	NA	24996	3.80	0.08	2.1907E-4	-4.6210E-5	3.8421E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.1191E-6	1.0633E-6	1.6453E-4	0.00	90.00	0.00	0.00	26.65	89.17	1.6455E-4	3.2935E-5	1.6809E-5	4.1703E-3	1.0036E-9	-5.4584E-10	-9.8989E-10	1.6453E-4	NA	24996	3.80	0.09	3.2934E-5	1.6809E-5	4.1703E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-4.8914E-6	3.4443E-6	1.7198E-4	0.00	90.00	0.00	0.00	144.85	88.01	1.7209E-4	-7.6022E-5	5.4446E-5	4.3591E-3	1.0856E-9	-5.9042E-10	-1.0707E-9	1.7198E-4	NA	24996	3.80	0.10	-7.6023E-5	5.4447E-5	4.3591E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-7.4306E-6	4.1190E-6	1.7553E-4	0.00	90.00	0.00	0.00	151.00	87.23	1.7574E-4	-1.1549E-4	6.5113E-5	4.4490E-3	1.1616E-9	-6.3177E-10	-1.1457E-9	1.7553E-4	NA	24996	3.80	0.11	-1.1549E-4	6.5114E-5	4.4490E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-7.7046E-6	3.6536E-6	1.7695E-4	0.00	90.00	0.00	0.00	154.63	87.24	1.7716E-4	-1.1974E-4	5.7755E-5	4.4850E-3	1.2384E-9	-6.7353E-10	-1.2214E-9	1.7695E-4	NA	24996	3.80	0.12	-1.1975E-4	5.7756E-5	4.4850E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-6.7713E-6	2.7767E-6	1.7726E-4	0.00	90.00	0.00	0.00	157.70	87.64	1.7741E-4	-1.0524E-4	4.3893E-5	4.4929E-3	1.3145E-9	-7.1492E-10	-1.2965E-9	1.7726E-4	NA	24996	3.80	0.13	-1.0524E-4	4.3894E-5	4.4929E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-5.1986E-6	2.2837E-6	1.7705E-4	0.00	90.00	0.00	0.00	156.28	88.16	1.7714E-4	-8.0795E-5	3.6099E-5	4.4874E-3	1.3960E-9	-7.5927E-10	-1.3769E-9	1.7705E-4	NA	24996	3.80	0.14	-8.0797E-5	3.6100E-5	4.4874E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-3.1355E-6	2.2749E-6	1.7689E-4	0.00	90.00	0.00	0.00	144.04	88.75	1.7693E-4	-4.8730E-5	3.5962E-5	4.4834E-3	1.4779E-9	-8.0378E-10	-1.4577E-9	1.7689E-4	NA	24996	3.80	0.15	-4.8731E-5	3.5962E-5	4.4834E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-1.0969E-6	2.4534E-6	1.7738E-4	0.00	90.00	0.00	0.00	114.09	89.13	1.7740E-4	-1.7046E-5	3.8782E-5	4.4959E-3	1.5591E-9	-8.4797E-10	-1.5378E-9	1.7738E-4	NA	24996	3.80	0.16	-1.7047E-5	3.8783E-5	4.4959E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	3.8471E-7	2.6157E-6	1.7879E-4	0.00	90.00	0.00	0.00	81.63	89.15	1.7881E-4	5.9808E-6	4.1348E-5	4.5317E-3	1.6356E-9	-8.8954E-10	-1.6132E-9	1.7879E-4	NA	24996	3.80	0.17	5.9792E-6	4.1349E-5	4.5317E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
