Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5H	-5.8192E-7	4.9228E-8	4.0421E-6	0.00	90.00	0.00	0.00	175.16	81.78	4.0841E-6	-9.0440E-6	7.7818E-7	1.0245E-4	1.3800E-10	-2.0207E-11	-3.8816E-10	4.0421E-6	NA	25020	3.80	0.00	-9.0441E-6	7.7820E-7	1.0245E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.0553E-6	-5.3763E-7	7.7089E-6	0.00	90.00	0.00	0.00	333.00	81.27	7.7994E-6	1.6402E-5	-8.4989E-6	1.9539E-4	1.7628E-10	-2.5813E-11	-4.9586E-10	7.7089E-6	NA	25020	3.80	0.01	1.6402E-5	-8.4989E-6	1.9539E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	4.5390E-6	-1.7878E-6	1.3843E-5	0.00	90.00	0.00	0.00	338.50	70.59	1.4677E-5	7.0546E-5	-2.8261E-5	3.5085E-4	2.1217E-10	-3.1068E-11	-5.9681E-10	1.3843E-5	NA	25020	3.80	0.02	7.0546E-5	-2.8261E-5	3.5085E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	9.7326E-6	-3.7759E-6	2.3249E-5	0.00	90.00	0.00	0.00	338.80	65.82	2.5485E-5	1.5126E-4	-5.9690E-5	5.8926E-4	2.5048E-10	-3.6677E-11	-7.0455E-10	2.3249E-5	NA	25020	3.80	0.03	1.5126E-4	-5.9690E-5	5.8926E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.4566E-5	-5.6740E-6	3.7033E-5	0.00	90.00	0.00	0.00	338.72	67.11	4.0197E-5	2.2639E-4	-8.9695E-5	9.3863E-4	2.8642E-10	-4.1940E-11	-8.0565E-10	3.7033E-5	NA	25020	3.80	0.04	2.2639E-4	-8.9695E-5	9.3863E-4	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.6093E-5	-6.4954E-6	5.4813E-5	0.00	90.00	0.00	0.00	338.02	72.43	5.7495E-5	2.5012E-4	-1.0268E-4	1.3893E-3	3.2235E-10	-4.7201E-11	-9.0672E-10	5.4813E-5	NA	25020	3.80	0.05	2.5012E-4	-1.0268E-4	1.3893E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.3763E-5	-5.4934E-6	7.2670E-5	0.00	90.00	0.00	0.00	338.24	78.47	7.4165E-5	2.1391E-4	-8.6840E-5	1.8419E-3	3.6062E-10	-5.2805E-11	-1.0144E-9	7.2670E-5	NA	25020	3.80	0.06	2.1391E-4	-8.6840E-5	1.8419E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	8.6245E-6	-3.0506E-6	8.8053E-5	0.00	90.00	0.00	0.00	340.52	84.07	8.8527E-5	1.3404E-4	-4.8225E-5	2.2318E-3	3.9886E-10	-5.8405E-11	-1.1219E-9	8.8053E-5	NA	25020	3.80	0.07	1.3404E-4	-4.8225E-5	2.2318E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	2.8966E-6	-2.0834E-7	9.9267E-5	0.00	90.00	0.00	0.00	355.89	88.32	9.9309E-5	4.5019E-5	-3.2935E-6	2.5160E-3	4.3481E-10	-6.3669E-11	-1.2231E-9	9.9267E-5	NA	25020	3.80	0.08	4.5019E-5	-3.2935E-6	2.5160E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-7.3172E-7	1.5504E-6	1.0661E-4	0.00	90.00	0.00	0.00	115.26	89.08	1.0663E-4	-1.1372E-5	2.4509E-5	2.7022E-3	4.7074E-10	-6.8929E-11	-1.3241E-9	1.0661E-4	NA	25020	3.80	0.09	-1.1372E-5	2.4509E-5	2.7022E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-2.0883E-6	2.0259E-6	1.1156E-4	0.00	90.00	0.00	0.00	135.87	88.51	1.1159E-4	-3.2455E-5	3.2025E-5	2.8275E-3	5.0669E-10	-7.4193E-11	-1.4252E-9	1.1156E-4	NA	25020	3.80	0.10	-3.2456E-5	3.2025E-5	2.8275E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
