Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5H	3.9467E-6	2.3423E-6	1.2596E-4	0.00	90.00	0.00	0.00	30.69	87.91	1.2604E-4	6.1341E-5	3.7028E-5	3.1925E-3	2.0487E-9	-2.9999E-10	-5.7628E-9	1.2596E-4	NA	25020	3.80	4	6.1339E-5	3.7028E-5	3.1925E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	3.8484E-6	2.3360E-6	1.2138E-4	0.00	90.00	0.00	0.00	31.26	87.88	1.2146E-4	5.9807E-5	3.6933E-5	3.0765E-3	-4.5851E-9	5.0727E-9	-3.9082E-10	1.2138E-4	NA	25021	3.80	4	5.9811E-5	3.6928E-5	3.0765E-3	1	Degauss X, Y, & Z	50	50	50	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	3.3041E-6	1.9646E-6	1.0722E-4	0.00	90.00	0.00	0.00	30.74	87.95	1.0729E-4	5.1359E-5	3.1053E-5	2.7176E-3	6.3806E-9	-3.2887E-9	-1.3053E-9	1.0722E-4	NA	25022	3.80	4	5.1353E-5	3.1057E-5	2.7176E-3	1	Degauss X, Y, & Z	100	100	100	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	2.7108E-6	1.6312E-6	8.8381E-5	0.00	90.00	0.00	0.00	31.04	87.95	8.8437E-5	4.2126E-5	2.5788E-5	2.2401E-3	-4.3365E-9	1.4941E-9	-4.0443E-9	8.8381E-5	NA	25023	3.80	4	4.2131E-5	2.5787E-5	2.2401E-3	1	Degauss X, Y, & Z	150	150	150	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	2.1262E-6	1.2521E-6	6.9287E-5	0.00	90.00	0.00	0.00	30.49	87.96	6.9331E-5	3.3048E-5	1.9793E-5	1.7562E-3	2.8036E-9	-1.1943E-9	9.1244E-10	6.9287E-5	NA	25024	3.80	4	3.3045E-5	1.9794E-5	1.7562E-3	1	Degauss X, Y, & Z	200	200	200	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	1.1863E-6	5.5208E-7	3.7514E-5	0.00	90.00	0.00	0.00	24.96	88.00	3.7537E-5	1.8442E-5	8.7219E-6	9.5084E-4	3.8245E-9	-5.3762E-9	3.9119E-10	3.7514E-5	NA	25025	3.80	4	1.8438E-5	8.7273E-6	9.5084E-4	1	Degauss X, Y, & Z	300	300	300	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	7.2839E-7	2.4683E-7	2.0705E-5	0.00	90.00	0.00	0.00	18.72	87.87	2.0719E-5	1.1327E-5	3.9036E-6	5.2478E-4	6.3920E-9	1.7971E-9	1.3076E-9	2.0705E-5	NA	25026	3.80	4	1.1321E-5	3.9018E-6	5.2478E-4	1	Degauss X, Y, & Z	400	400	400	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	4.2814E-7	1.3064E-7	1.0513E-5	0.00	90.00	0.00	0.00	16.97	87.56	1.0523E-5	6.6594E-6	2.0586E-6	2.6646E-4	5.3597E-9	-6.5775E-9	0.0000E+0	1.0513E-5	NA	25027	3.80	4	6.6541E-6	2.0652E-6	2.6646E-4	1	Degauss X, Y, & Z	500	500	500	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	2.2720E-7	-6.4098E-8	5.6843E-6	0.00	90.00	0.00	0.00	344.25	87.62	5.6892E-6	3.5322E-6	-1.0115E-6	1.4408E-4	1.0207E-9	1.7936E-9	2.4797E-9	5.6843E-6	NA	25028	3.80	4	3.5312E-6	-1.0133E-6	1.4407E-4	1	Degauss X, Y, & Z	600	600	600	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	1.1187E-7	-7.0173E-8	1.2663E-6	0.00	90.00	0.00	0.00	327.90	84.05	1.2732E-6	1.7447E-6	-1.1144E-6	3.2098E-5	6.1307E-9	-5.0870E-9	1.0451E-9	1.2663E-6	NA	25029	3.80	4	1.7386E-6	-1.1093E-6	3.2097E-5	1	Degauss X, Y, & Z	800	800	800	NA	NA	SAMPLE/CONTINUOUS	YES	NO
