Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5A	60201	21/03/20 0016	3.80	0.00	-60.94	-60.94	-60.94	189.57	189.57	189.57	2.3052E-3	0.00	90.00	0.00	0.00	0.00	-1.1041E-3	-1.7159E-2	-1.7159E-2	-1.8622E-4	-2.9437E-3	-2.9437E-3	-2.0150E-3	-5.2187E-2	-5.1071E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.01	-63.90	-63.90	-63.90	188.75	188.75	188.75	3.1598E-3	0.00	90.00	0.00	0.00	0.00	-1.3739E-3	-2.1353E-2	-2.1353E-2	-2.1147E-4	-3.3429E-3	-3.3429E-3	-2.8376E-3	-7.3460E-2	-7.1923E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.02	-69.29	-69.29	-69.29	187.52	187.52	187.52	3.9401E-3	0.00	90.00	0.00	0.00	0.00	-1.3813E-3	-2.1468E-2	-2.1468E-2	-1.8225E-4	-2.8810E-3	-2.8810E-3	-3.6855E-3	-9.5363E-2	-9.3414E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.03	-75.71	-75.71	-75.71	185.18	185.18	185.18	4.6622E-3	0.00	90.00	0.00	0.00	0.00	-1.1460E-3	-1.7812E-2	-1.7812E-2	-1.0386E-4	-1.6418E-3	-1.6417E-3	-4.5179E-3	-1.1687E-1	-1.1451E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.04	-81.46	-81.46	-81.46	180.77	180.77	180.77	5.3399E-3	0.00	90.00	0.00	0.00	0.00	-7.9317E-4	-1.2327E-2	-1.2327E-2	-1.0708E-5	-1.6928E-4	-1.6928E-4	-5.2807E-3	-1.3662E-1	-1.3384E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.05	-85.01	-85.01	-85.01	172.33	172.33	172.33	5.8531E-3	0.00	90.00	0.00	0.00	0.00	-5.0414E-4	-7.8354E-3	-7.8354E-3	6.7887E-5	1.0731E-3	1.0732E-3	-5.8309E-3	-1.5099E-1	-1.4779E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.06	-87.08	-87.08	-87.08	154.56	154.56	154.56	6.1896E-3	0.00	90.00	0.00	0.00	0.00	-2.8495E-4	-4.4288E-3	-4.4288E-3	1.3556E-4	2.1429E-3	2.1430E-3	-6.1815E-3	-1.6029E-1	-1.5668E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.07	-88.06	-88.06	-88.06	102.25	102.25	102.25	6.3344E-3	0.00	90.00	0.00	0.00	0.00	-4.5580E-5	-7.0844E-4	-7.0841E-4	2.0997E-4	3.3191E-3	3.3191E-3	-6.3308E-3	-1.6449E-1	-1.6046E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.08	-86.52	-86.52	-86.52	50.24	50.24	50.24	6.2760E-3	0.00	90.00	0.00	0.00	0.00	2.4383E-4	3.7895E-3	3.7895E-3	2.9306E-4	4.6327E-3	4.6328E-3	-6.2644E-3	-1.6322E-1	-1.5878E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.09	-83.71	-83.71	-83.71	33.68	33.68	33.68	5.9981E-3	0.00	90.00	0.00	0.00	0.00	5.4691E-4	8.5000E-3	8.5001E-3	3.6444E-4	5.7610E-3	5.7610E-3	-5.9620E-3	-1.5598E-1	-1.5111E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
