Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5B	60189	21/03/20 0014	3.80	0.00	-63.79	-63.79	-63.79	192.42	192.42	192.42	1.7361E-3	0.00	90.00	0.00	0.00	0.00	-7.4891E-4	-1.1640E-2	-1.1640E-2	-1.6495E-4	-2.6076E-3	-2.6076E-3	-1.5576E-3	-3.9724E-2	-3.9479E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.01	-68.97	-68.97	-68.97	191.01	191.01	191.01	2.4132E-3	0.00	90.00	0.00	0.00	0.00	-8.5007E-4	-1.3212E-2	-1.3212E-2	-1.6539E-4	-2.6145E-3	-2.6145E-3	-2.2525E-3	-5.7429E-2	-5.7092E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.02	-74.90	-74.90	-74.90	190.76	190.76	190.76	3.0617E-3	0.00	90.00	0.00	0.00	0.00	-7.8356E-4	-1.2178E-2	-1.2178E-2	-1.4896E-4	-2.3547E-3	-2.3547E-3	-2.9559E-3	-7.5350E-2	-7.4921E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.03	-80.51	-80.51	-80.51	191.55	191.55	191.55	3.5981E-3	0.00	90.00	0.00	0.00	0.00	-5.8146E-4	-9.0371E-3	-9.0371E-3	-1.1883E-4	-1.8785E-3	-1.8785E-3	-3.5489E-3	-9.0470E-2	-8.9949E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.04	-85.30	-85.30	-85.30	191.99	191.99	191.99	3.9992E-3	0.00	90.00	0.00	0.00	0.00	-3.2048E-4	-4.9809E-3	-4.9809E-3	-6.8070E-5	-1.0761E-3	-1.0761E-3	-3.9858E-3	-1.0164E-1	-1.0102E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.05	-88.42	-88.42	-88.42	172.88	172.88	172.88	4.2646E-3	0.00	90.00	0.00	0.00	0.00	-1.1632E-4	-1.8078E-3	-1.8078E-3	1.4527E-5	2.2964E-4	2.2965E-4	-4.2630E-3	-1.0876E-1	-1.0805E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.06	-88.34	-88.34	-88.34	80.38	80.38	80.38	4.3826E-3	0.00	90.00	0.00	0.00	0.00	2.1163E-5	3.2890E-4	3.2892E-4	1.2480E-4	1.9728E-3	1.9728E-3	-4.3808E-3	-1.1183E-1	-1.1104E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.07	-86.93	-86.93	-86.93	66.97	66.97	66.97	4.3781E-3	0.00	90.00	0.00	0.00	0.00	9.1572E-5	1.4232E-3	1.4232E-3	2.1544E-4	3.4057E-3	3.4057E-3	-4.3719E-3	-1.1170E-1	-1.1081E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.08	-86.46	-86.46	-86.46	70.02	70.02	70.02	4.3034E-3	0.00	90.00	0.00	0.00	0.00	9.0713E-5	1.4098E-3	1.4099E-3	2.4946E-4	3.9434E-3	3.9434E-3	-4.2952E-3	-1.0985E-1	-1.0887E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.09	-86.64	-86.64	-86.64	73.41	73.41	73.41	4.2186E-3	0.00	90.00	0.00	0.00	0.00	7.0602E-5	1.0973E-3	1.0973E-3	2.3692E-4	3.7452E-3	3.7452E-3	-4.2114E-3	-1.0781E-1	-1.0674E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.10	-86.97	-86.97	-86.97	69.51	69.51	69.51	4.1338E-3	0.00	90.00	0.00	0.00	0.00	7.6589E-5	1.1903E-3	1.1903E-3	2.0498E-4	3.2403E-3	3.2403E-3	-4.1280E-3	-1.0580E-1	-1.0463E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.11	-87.00	-87.00	-87.00	58.00	58.00	58.00	4.0159E-3	0.00	90.00	0.00	0.00	0.00	1.1156E-4	1.7338E-3	1.7339E-3	1.7851E-4	2.8218E-3	2.8218E-3	-4.0104E-3	-1.0290E-1	-1.0165E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.12	-86.52	-86.52	-86.52	46.81	46.81	46.81	3.8543E-3	0.00	90.00	0.00	0.00	0.00	1.6018E-4	2.4894E-3	2.4894E-3	1.7062E-4	2.6971E-3	2.6971E-3	-3.8472E-3	-9.8858E-2	-9.7510E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5B	60189	21/03/20 0014	3.80	0.13	-85.85	-85.85	-85.85	42.11	42.11	42.11	3.6778E-3	0.00	90.00	0.00	0.00	0.00	1.9741E-4	3.0681E-3	3.0682E-3	1.7846E-4	2.8210E-3	2.8210E-3	-3.6682E-3	-9.4413E-2	-9.2973E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
