Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5C	60177	21/03/20 0023	3.80	0.00	-58.76	-58.76	-58.76	194.23	194.23	194.23	2.3952E-3	0.00	90.00	0.00	0.00	0.00	-1.2040E-3	-1.8712E-2	-1.8712E-2	-3.0543E-4	-4.8282E-3	-4.8282E-3	-2.0479E-3	-5.3556E-2	-5.1906E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.01	-66.12	-66.12	-66.12	191.32	191.32	191.32	3.1508E-3	0.00	90.00	0.00	0.00	0.00	-1.2507E-3	-1.9439E-2	-1.9439E-2	-2.5029E-4	-3.9566E-3	-3.9566E-3	-2.8811E-3	-7.5284E-2	-7.3024E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.02	-74.82	-74.82	-74.82	186.10	186.10	186.10	3.8287E-3	0.00	90.00	0.00	0.00	0.00	-9.9657E-4	-1.5489E-2	-1.5489E-2	-1.0657E-4	-1.6847E-3	-1.6847E-3	-3.6952E-3	-9.6568E-2	-9.3660E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.03	-82.47	-82.47	-82.47	173.80	173.80	173.80	4.4521E-3	0.00	90.00	0.00	0.00	0.00	-5.7999E-4	-9.0142E-3	-9.0142E-3	6.3017E-5	9.9616E-4	9.9618E-4	-4.4137E-3	-1.1541E-1	-1.1187E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.04	-86.78	-86.78	-86.78	138.95	138.95	138.95	4.9035E-3	0.00	90.00	0.00	0.00	0.00	-2.0773E-4	-3.2286E-3	-3.2286E-3	1.8088E-4	2.8593E-3	2.8593E-3	-4.8957E-3	-1.2825E-1	-1.2409E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.05	-87.57	-87.57	-87.57	87.28	87.28	87.28	5.1942E-3	0.00	90.00	0.00	0.00	0.00	1.0423E-5	1.6196E-4	1.6200E-4	2.1972E-4	3.4733E-3	3.4734E-3	-5.1895E-3	-1.3631E-1	-1.3153E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.06	-87.51	-87.51	-87.51	66.62	66.62	66.62	5.3533E-3	0.00	90.00	0.00	0.00	0.00	9.2112E-5	1.4316E-3	1.4316E-3	2.1309E-4	3.3685E-3	3.3685E-3	-5.3483E-3	-1.4094E-1	-1.3556E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.07	-87.95	-87.95	-87.95	72.69	72.69	72.69	5.4082E-3	0.00	90.00	0.00	0.00	0.00	5.7614E-5	8.9539E-4	8.9544E-4	1.8486E-4	2.9222E-3	2.9223E-3	-5.4047E-3	-1.4300E-1	-1.3699E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.08	-88.34	-88.34	-88.34	103.72	103.72	103.72	5.4239E-3	0.00	90.00	0.00	0.00	0.00	-3.7353E-5	-5.8060E-4	-5.8055E-4	1.5304E-4	2.4193E-3	2.4193E-3	-5.4216E-3	-1.4404E-1	-1.3742E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.09	-88.20	-88.20	-88.20	127.23	127.23	127.23	5.4618E-3	0.00	90.00	0.00	0.00	0.00	-1.0407E-4	-1.6175E-3	-1.6174E-3	1.3696E-4	2.1651E-3	2.1651E-3	-5.4591E-3	-1.4560E-1	-1.3837E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.10	-88.23	-88.23	-88.23	124.21	124.21	124.21	5.4983E-3	0.00	90.00	0.00	0.00	0.00	-9.5741E-5	-1.4881E-3	-1.4880E-3	1.4082E-4	2.2260E-3	2.2260E-3	-5.4957E-3	-1.4715E-1	-1.3929E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.11	-88.32	-88.32	-88.32	95.09	95.09	95.09	5.4689E-3	0.00	90.00	0.00	0.00	0.00	-1.4240E-5	-2.2138E-4	-2.2131E-4	1.5996E-4	2.5286E-3	2.5286E-3	-5.4666E-3	-1.4702E-1	-1.3856E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.12	-87.90	-87.90	-87.90	65.32	65.32	65.32	5.3659E-3	0.00	90.00	0.00	0.00	0.00	8.2213E-5	1.2777E-3	1.2778E-3	1.7888E-4	2.8277E-3	2.8278E-3	-5.3623E-3	-1.4499E-1	-1.3591E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.13	-87.66	-87.66	-87.66	56.61	56.61	56.61	5.2257E-3	0.00	90.00	0.00	0.00	0.00	1.1729E-4	1.8228E-3	1.8229E-3	1.7796E-4	2.8132E-3	2.8132E-3	-5.2213E-3	-1.4204E-1	-1.3234E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5C	60177	21/03/20 0023	3.80	0.14	-88.17	-88.17	-88.17	72.44	72.44	72.44	5.0739E-3	0.00	90.00	0.00	0.00	0.00	4.8824E-5	7.5875E-4	7.5883E-4	1.5427E-4	2.4387E-3	2.4387E-3	-5.0713E-3	-1.3887E-1	-1.2854E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
