Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5D	60165	21/03/20 0020	3.80	0.00	-63.74	-63.74	-63.74	189.38	189.38	189.38	1.3489E-3	0.00	90.00	0.00	0.00	0.00	-5.8890E-4	-9.1527E-3	-9.1527E-3	-9.7270E-5	-1.5376E-3	-1.5376E-3	-1.2096E-3	-3.3038E-2	-3.0660E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.01	-66.97	-66.97	-66.97	185.85	185.85	185.85	2.0053E-3	0.00	90.00	0.00	0.00	0.00	-7.8048E-4	-1.2130E-2	-1.2130E-2	-8.0005E-5	-1.2647E-3	-1.2647E-3	-1.8454E-3	-5.0039E-2	-4.6774E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.02	-73.06	-73.06	-73.06	180.45	180.45	180.45	2.7096E-3	0.00	90.00	0.00	0.00	0.00	-7.8951E-4	-1.2271E-2	-1.2271E-2	-6.2081E-6	-9.8121E-5	-9.8137E-5	-2.5920E-3	-6.9852E-2	-6.5697E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.03	-79.73	-79.73	-79.73	170.35	170.35	170.35	3.3465E-3	0.00	90.00	0.00	0.00	0.00	-5.8821E-4	-9.1420E-3	-9.1420E-3	1.0006E-4	1.5818E-3	1.5818E-3	-3.2928E-3	-8.8503E-2	-8.3460E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.04	-85.21	-85.21	-85.21	145.62	145.62	145.62	3.8184E-3	0.00	90.00	0.00	0.00	0.00	-2.6336E-4	-4.0932E-3	-4.0932E-3	1.8023E-4	2.8490E-3	2.8490E-3	-3.8050E-3	-1.0237E-1	-9.6442E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.05	-87.28	-87.28	-87.28	86.99	86.99	86.99	4.1002E-3	0.00	90.00	0.00	0.00	0.00	1.0231E-5	1.5901E-4	1.5901E-4	1.9433E-4	3.0721E-3	3.0720E-3	-4.0955E-3	-1.1062E-1	-1.0381E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.06	-87.41	-87.41	-87.41	50.43	50.43	50.43	4.2481E-3	0.00	90.00	0.00	0.00	0.00	1.2214E-4	1.8984E-3	1.8984E-3	1.4779E-4	2.3362E-3	2.3362E-3	-4.2438E-3	-1.1527E-1	-1.0756E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.07	-89.00	-89.00	-89.00	59.30	59.30	59.30	4.3552E-3	0.00	90.00	0.00	0.00	0.00	3.8670E-5	6.0101E-4	6.0101E-4	6.5119E-5	1.0294E-3	1.0294E-3	-4.3546E-3	-1.1896E-1	-1.1037E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.08	-86.83	-86.83	-86.83	188.80	188.80	188.80	4.5118E-3	0.00	90.00	0.00	0.00	0.00	-2.4649E-4	-3.8310E-3	-3.8310E-3	-3.8163E-5	-6.0324E-4	-6.0328E-4	-4.5050E-3	-1.2369E-1	-1.1418E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5D	60165	21/03/20 0020	3.80	0.09	-82.03	-82.03	-82.03	193.49	193.49	193.49	4.8238E-3	0.00	90.00	0.00	0.00	0.00	-6.5047E-4	-1.0110E-2	-1.0110E-2	-1.5598E-4	-2.4658E-3	-2.4658E-3	-4.7772E-3	-1.3148E-1	-1.2108E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
