Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5E	60153	20/03/20 0015	3.80	0.00	-58.40	-58.40	-58.40	175.23	175.23	175.23	2.4563E-3	0.00	90.00	0.00	0.00	0.00	-1.2826E-3	-1.9934E-2	-1.9934E-2	1.0702E-4	1.6917E-3	1.6917E-3	-2.0921E-3	-5.3475E-2	-5.3026E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.01	-65.81	-65.81	-65.81	171.91	171.91	171.91	3.2124E-3	0.00	90.00	0.00	0.00	0.00	-1.3033E-3	-2.0256E-2	-2.0256E-2	1.8519E-4	2.9275E-3	2.9275E-3	-2.9303E-3	-7.4892E-2	-7.4272E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.02	-75.04	-75.04	-75.04	165.37	165.37	165.37	3.8727E-3	0.00	90.00	0.00	0.00	0.00	-9.6723E-4	-1.5033E-2	-1.5033E-2	2.5255E-4	3.9923E-3	3.9923E-3	-3.7415E-3	-9.5616E-2	-9.4831E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.03	-83.73	-83.73	-83.73	144.97	144.97	144.97	4.3757E-3	0.00	90.00	0.00	0.00	0.00	-3.9156E-4	-6.0856E-3	-6.0856E-3	2.7443E-4	4.3382E-3	4.3382E-3	-4.3495E-3	-1.1120E-1	-1.1024E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.04	-86.35	-86.35	-86.35	57.18	57.18	57.18	4.6351E-3	0.00	90.00	0.00	0.00	0.00	1.5970E-4	2.4821E-3	2.4821E-3	2.4766E-4	3.9149E-3	3.9149E-3	-4.6258E-3	-1.1837E-1	-1.1724E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.05	-83.98	-83.98	-83.98	23.67	23.67	23.67	4.6683E-3	0.00	90.00	0.00	0.00	0.00	4.4833E-4	6.9679E-3	6.9679E-3	1.9652E-4	3.1066E-3	3.1066E-3	-4.6425E-3	-1.1896E-1	-1.1767E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.06	-83.37	-83.37	-83.37	16.46	16.46	16.46	4.5488E-3	0.00	90.00	0.00	0.00	0.00	5.0342E-4	7.8242E-3	7.8242E-3	1.4874E-4	2.3513E-3	2.3513E-3	-4.5184E-3	-1.1599E-1	-1.1452E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.07	-84.30	-84.30	-84.30	15.93	15.93	15.93	4.3710E-3	0.00	90.00	0.00	0.00	0.00	4.1733E-4	6.4861E-3	6.4861E-3	1.1912E-4	1.8831E-3	1.8831E-3	-4.3494E-3	-1.1188E-1	-1.1024E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.08	-86.13	-86.13	-86.13	23.26	23.26	23.26	4.1846E-3	0.00	90.00	0.00	0.00	0.00	2.5977E-4	4.0372E-3	4.0373E-3	1.1163E-4	1.7647E-3	1.7647E-3	-4.1750E-3	-1.0763E-1	-1.0582E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.09	-87.73	-87.73	-87.73	47.14	47.14	47.14	4.0271E-3	0.00	90.00	0.00	0.00	0.00	1.0872E-4	1.6897E-3	1.6898E-3	1.1717E-4	1.8522E-3	1.8522E-3	-4.0239E-3	-1.0397E-1	-1.0199E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.10	-88.17	-88.17	-88.17	90.54	90.54	90.54	3.9327E-3	0.00	90.00	0.00	0.00	0.00	-1.1868E-6	-1.8477E-5	-1.8444E-5	1.2544E-4	1.9830E-3	1.9830E-3	-3.9307E-3	-1.0178E-1	-9.9627E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.11	-87.83	-87.83	-87.83	118.47	118.47	118.47	3.9002E-3	0.00	90.00	0.00	0.00	0.00	-7.0275E-5	-1.0922E-3	-1.0922E-3	1.2957E-4	2.0482E-3	2.0482E-3	-3.8974E-3	-1.0111E-1	-9.8784E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.12	-87.21	-87.21	-87.21	135.04	135.04	135.04	3.8957E-3	0.00	90.00	0.00	0.00	0.00	-1.3436E-4	-2.0883E-3	-2.0883E-3	1.3418E-4	2.1211E-3	2.1211E-3	-3.8910E-3	-1.0112E-1	-9.8622E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.13	-86.02	-86.02	-86.02	145.24	145.24	145.24	3.9126E-3	0.00	90.00	0.00	0.00	0.00	-2.2320E-4	-3.4690E-3	-3.4690E-3	1.5491E-4	2.4488E-3	2.4488E-3	-3.9032E-3	-1.0160E-1	-9.8931E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.14	-84.77	-84.77	-84.77	146.88	146.88	146.88	3.9903E-3	0.00	90.00	0.00	0.00	0.00	-3.0441E-4	-4.7312E-3	-4.7311E-3	1.9862E-4	3.1398E-3	3.1398E-3	-3.9737E-3	-1.0355E-1	-1.0072E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.15	-84.31	-84.31	-84.31	141.95	141.95	141.95	4.1319E-3	0.00	90.00	0.00	0.00	0.00	-3.2245E-4	-5.0115E-3	-5.0115E-3	2.5241E-4	3.9901E-3	3.9901E-3	-4.1116E-3	-1.0721E-1	-1.0421E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5E	60153	20/03/20 0015	3.80	0.16	-85.18	-85.18	-85.18	127.20	127.20	127.20	4.2785E-3	0.00	90.00	0.00	0.00	0.00	-2.1731E-4	-3.3775E-3	-3.3775E-3	2.8632E-4	4.5262E-3	4.5262E-3	-4.2634E-3	-1.1122E-1	-1.0806E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
