Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5F	60141	20/03/20 0023	3.80	0.00	-58.85	-58.85	-58.85	194.63	194.63	194.63	2.7325E-3	0.00	90.00	0.00	0.00	0.00	-1.3675E-3	-2.1253E-2	-2.1253E-2	-3.5696E-4	-5.6429E-3	-5.6428E-3	-2.3386E-3	-6.0733E-2	-5.9274E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.01	-67.04	-67.04	-67.04	191.20	191.20	191.20	3.5401E-3	0.00	90.00	0.00	0.00	0.00	-1.3547E-3	-2.1054E-2	-2.1054E-2	-2.6814E-4	-4.2389E-3	-4.2388E-3	-3.2596E-3	-8.4627E-2	-8.2618E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.02	-75.11	-75.11	-75.11	185.20	185.20	185.20	4.2323E-3	0.00	90.00	0.00	0.00	0.00	-1.0831E-3	-1.6834E-2	-1.6834E-2	-9.8602E-5	-1.5588E-3	-1.5587E-3	-4.0901E-3	-1.0623E-1	-1.0367E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.03	-82.45	-82.45	-82.45	169.39	169.39	169.39	4.9283E-3	0.00	90.00	0.00	0.00	0.00	-6.3617E-4	-9.8874E-3	-9.8874E-3	1.1919E-4	1.8841E-3	1.8842E-3	-4.8856E-3	-1.2696E-1	-1.2383E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.04	-85.90	-85.90	-85.90	127.54	127.54	127.54	5.5630E-3	0.00	90.00	0.00	0.00	0.00	-2.4226E-4	-3.7653E-3	-3.7652E-3	3.1526E-4	4.9834E-3	4.9836E-3	-5.5487E-3	-1.4431E-1	-1.4064E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.05	-85.67	-85.67	-85.67	87.93	87.93	87.93	6.0765E-3	0.00	90.00	0.00	0.00	0.00	1.6608E-5	2.5804E-4	2.5812E-4	4.5848E-4	7.2474E-3	7.2476E-3	-6.0591E-3	-1.5780E-1	-1.5357E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.06	-84.68	-84.68	-84.68	68.87	68.87	68.87	6.5343E-3	0.00	90.00	0.00	0.00	0.00	2.1837E-4	3.3938E-3	3.3939E-3	5.6502E-4	8.9317E-3	8.9319E-3	-6.5062E-3	-1.6968E-1	-1.6491E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.07	-84.80	-84.80	-84.80	65.51	65.51	65.51	6.9926E-3	0.00	90.00	0.00	0.00	0.00	2.6253E-4	4.0801E-3	4.0802E-3	5.7627E-4	9.1095E-3	9.1097E-3	-6.9639E-3	-1.8183E-1	-1.7651E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.08	-86.24	-86.24	-86.24	82.92	82.92	82.92	7.5783E-3	0.00	90.00	0.00	0.00	0.00	6.1256E-5	9.5193E-4	9.5204E-4	4.9321E-4	7.7964E-3	7.7966E-3	-7.5620E-3	-1.9754E-1	-1.9167E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5F	60141	20/03/20 0023	3.80	0.09	-85.96	-85.96	-85.96	139.98	139.98	139.98	8.3594E-3	0.00	90.00	0.00	0.00	0.00	-4.5078E-4	-7.0061E-3	-7.0060E-3	3.7857E-4	5.9843E-3	5.9845E-3	-8.3386E-3	-2.1777E-1	-2.1135E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
