Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5G	60127	20/03/20 0020	3.80	0.00	-59.33	-59.33	-59.33	195.51	195.51	195.51	2.5500E-3	0.00	90.00	0.00	0.00	0.00	-1.2533E-3	-1.9479E-2	-1.9479E-2	-3.4776E-4	-5.4979E-3	-5.4974E-3	-2.1933E-3	-5.6238E-2	-5.5592E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.01	-64.63	-64.63	-64.63	194.49	194.49	194.49	3.4204E-3	0.00	90.00	0.00	0.00	0.00	-1.4189E-3	-2.2052E-2	-2.2052E-2	-3.6664E-4	-5.7967E-3	-5.7959E-3	-3.0905E-3	-7.9222E-2	-7.8333E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.02	-72.30	-72.30	-72.30	192.63	192.63	192.63	4.1745E-3	0.00	90.00	0.00	0.00	0.00	-1.2387E-3	-1.9252E-2	-1.9251E-2	-2.7757E-4	-4.3888E-3	-4.3878E-3	-3.9769E-3	-1.0192E-1	-1.0080E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.03	-81.27	-81.27	-81.27	188.84	188.84	188.84	4.8534E-3	0.00	90.00	0.00	0.00	0.00	-7.2825E-4	-1.1319E-2	-1.1318E-2	-1.1324E-4	-1.7914E-3	-1.7902E-3	-4.7972E-3	-1.2295E-1	-1.2159E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.04	-88.95	-88.95	-88.95	146.86	146.86	146.86	5.3218E-3	0.00	90.00	0.00	0.00	0.00	-8.1677E-5	-1.2700E-3	-1.2694E-3	5.3323E-5	8.4148E-4	8.4293E-4	-5.3209E-3	-1.3647E-1	-1.3486E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.05	-85.67	-85.67	-85.67	18.13	18.13	18.13	5.4679E-3	0.00	90.00	0.00	0.00	0.00	3.9243E-4	6.0984E-3	6.0991E-3	1.2848E-4	2.0293E-3	2.0310E-3	-5.4522E-3	-1.4004E-1	-1.3819E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.06	-84.77	-84.77	-84.77	10.47	10.47	10.47	5.3327E-3	0.00	90.00	0.00	0.00	0.00	4.7782E-4	7.4255E-3	7.4262E-3	8.8270E-5	1.3935E-3	1.3954E-3	-5.3105E-3	-1.3669E-1	-1.3460E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.07	-86.96	-86.96	-86.96	1.20	1.20	1.20	5.1564E-3	0.00	90.00	0.00	0.00	0.00	2.7366E-4	4.2524E-3	4.2533E-3	5.7296E-6	8.8495E-5	9.0574E-5	-5.1491E-3	-1.3283E-1	-1.3051E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.08	-89.76	-89.76	-89.76	283.62	283.62	283.62	5.1625E-3	0.00	90.00	0.00	0.00	0.00	5.1154E-6	7.8544E-5	7.9504E-5	-2.1108E-5	-3.3596E-4	-3.3367E-4	-5.1625E-3	-1.3341E-1	-1.3085E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5G	60127	20/03/20 0020	3.80	0.09	-88.19	-88.19	-88.19	166.33	166.33	166.33	5.3140E-3	0.00	90.00	0.00	0.00	0.00	-1.6274E-4	-2.5304E-3	-2.5293E-3	3.9592E-5	6.2336E-4	6.2588E-4	-5.3114E-3	-1.3743E-1	-1.3462E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
