Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5H	60115	19/03/20 0017	3.80	0.00	-61.95	-61.95	-61.95	200.70	200.70	200.70	2.0478E-3	0.00	90.00	0.00	0.00	0.00	-9.0097E-4	-1.4003E-2	-1.4003E-2	-3.4039E-4	-5.3809E-3	-5.3808E-3	-1.8072E-3	-4.7259E-2	-4.5806E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.01	-68.85	-68.85	-68.85	199.94	199.94	199.94	2.7698E-3	0.00	90.00	0.00	0.00	0.00	-9.3944E-4	-1.4601E-2	-1.4601E-2	-3.4074E-4	-5.3864E-3	-5.3864E-3	-2.5832E-3	-6.7459E-2	-6.5475E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.02	-77.90	-77.90	-77.90	199.03	199.03	199.03	3.4373E-3	0.00	90.00	0.00	0.00	0.00	-6.8136E-4	-1.0590E-2	-1.0590E-2	-2.3495E-4	-3.7142E-3	-3.7141E-3	-3.3609E-3	-8.7720E-2	-8.5186E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.03	-86.19	-86.19	-86.19	197.18	197.18	197.18	3.9889E-3	0.00	90.00	0.00	0.00	0.00	-2.5329E-4	-3.9366E-3	-3.9366E-3	-7.8306E-5	-1.2379E-3	-1.2379E-3	-3.9800E-3	-1.0396E-1	-1.0088E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.04	-88.18	-88.18	-88.18	24.57	24.57	24.57	4.3432E-3	0.00	90.00	0.00	0.00	0.00	1.2517E-4	1.9454E-3	1.9455E-3	5.7236E-5	9.0471E-4	9.0478E-4	-4.3410E-3	-1.1364E-1	-1.1003E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.05	-85.91	-85.91	-85.91	23.34	23.34	23.34	4.5382E-3	0.00	90.00	0.00	0.00	0.00	2.9727E-4	4.6202E-3	4.6202E-3	1.2829E-4	2.0279E-3	2.0280E-3	-4.5267E-3	-1.1888E-1	-1.1473E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.06	-86.22	-86.22	-86.22	29.90	29.90	29.90	4.6416E-3	0.00	90.00	0.00	0.00	0.00	2.6549E-4	4.1262E-3	4.1262E-3	1.5264E-4	2.4129E-3	2.4130E-3	-4.6315E-3	-1.2209E-1	-1.1739E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.07	-87.50	-87.50	-87.50	48.29	48.29	48.29	4.7242E-3	0.00	90.00	0.00	0.00	0.00	1.3716E-4	2.1318E-3	2.1318E-3	1.5389E-4	2.4326E-3	2.4327E-3	-4.7197E-3	-1.2485E-1	-1.1963E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.08	-88.48	-88.48	-88.48	99.01	99.01	99.01	4.8296E-3	0.00	90.00	0.00	0.00	0.00	-2.0015E-5	-3.1112E-4	-3.1107E-4	1.2629E-4	1.9962E-3	1.9963E-3	-4.8280E-3	-1.2814E-1	-1.2237E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.09	-87.92	-87.92	-87.92	150.19	150.19	150.19	4.9884E-3	0.00	90.00	0.00	0.00	0.00	-1.5705E-4	-2.4408E-3	-2.4408E-3	8.9969E-5	1.4221E-3	1.4222E-3	-4.9851E-3	-1.3268E-1	-1.2635E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.10	-87.32	-87.32	-87.32	163.90	163.90	163.90	5.1853E-3	0.00	90.00	0.00	0.00	0.00	-2.3318E-4	-3.6241E-3	-3.6240E-3	6.7312E-5	1.0639E-3	1.0641E-3	-5.1797E-3	-1.3814E-1	-1.3128E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.11	-87.60	-87.60	-87.60	155.64	155.64	155.64	5.3542E-3	0.00	90.00	0.00	0.00	0.00	-2.0420E-4	-3.1738E-3	-3.1737E-3	9.2475E-5	1.4617E-3	1.4618E-3	-5.3495E-3	-1.4297E-1	-1.3559E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.12	-87.92	-87.92	-87.92	104.56	104.56	104.56	5.4398E-3	0.00	90.00	0.00	0.00	0.00	-4.9658E-5	-7.7185E-4	-7.7179E-4	1.9114E-4	3.0214E-3	3.0216E-3	-5.4362E-3	-1.4570E-1	-1.3779E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	0.13	-85.95	-85.95	-85.95	61.57	61.57	61.57	5.4202E-3	0.00	90.00	0.00	0.00	0.00	1.8204E-4	2.8291E-3	2.8292E-3	3.3626E-4	5.3154E-3	5.3156E-3	-5.4067E-3	-1.4548E-1	-1.3704E-1	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
