Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Temp C	MS mean	MS corr	MS drift	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	MS drift time	# MS averaged
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.0079E+0	-7.9436E-3	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	1946	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2017E+1	-1.6924E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	4146	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.00	2.0026E+1	-2.5917E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	6349	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.00	2.7035E+1	-3.4909E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	8552	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.00	3.2044E+1	-4.4110E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	10806	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.00	3.3053E+1	-5.3107E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	13010	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.00	3.5062E+1	-6.2099E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	15213	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.00	3.6071E+1	-7.1084E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	17414	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.00	3.4080E+1	-8.0068E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	19615	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.00	3.1089E+1	-8.9245E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	21863	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.00	2.7098E+1	-9.8433E-2	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	24114	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.00	2.1108E+1	-1.0763E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	26368	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.00	1.7117E+1	-1.1687E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	28631	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3126E+1	-1.2607E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	30884	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0135E+1	-1.3527E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	33138	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.1445E+0	-1.4447E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	35391	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.1536E+0	-1.5363E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	37635	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.1628E+0	-1.6282E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	39888	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1172E+1	-1.7201E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	42139	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1181E+1	-1.8122E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	44396	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2190E+1	-1.9042E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	46649	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3200E+1	-1.9962E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	48902	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3209E+1	-2.0879E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	51148	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2218E+1	-2.1795E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	53394	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1227E+1	-2.2713E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	55641	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1236E+1	-2.3630E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	57889	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1245E+1	-2.4548E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	60136	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1255E+1	-2.5467E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	62388	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2264E+1	-2.6388E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	64644	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2273E+1	-2.7307E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	66896	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2282E+1	-2.8227E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	69150	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2291E+1	-2.9148E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	71405	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0301E+1	-3.0066E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	73656	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1310E+1	-3.0986E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	75909	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0319E+1	-3.1906E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	78163	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.3282E+0	-3.2824E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	80411	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.3375E+0	-3.3746E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	82670	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.3466E+0	-3.4664E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	84919	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.3558E+0	-3.5581E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	87165	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.3650E+0	-3.6498E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	89413	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.3742E+0	-3.7416E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	91660	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.3834E+0	-3.8337E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	93916	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.3926E+0	-3.9256E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	96168	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.4017E+0	-4.0173E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	98416	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.4111E+0	-4.1111E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	100713	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.4203E+0	-4.2033E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	102972	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.4295E+0	-4.2952E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	105224	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.4387E+0	-4.3870E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	107473	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4479E+0	-4.4787E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	109719	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4573E+0	-4.5727E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	112020	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4664E+0	-4.6643E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	114265	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4756E+0	-4.7561E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	116513	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4848E+0	-4.8482E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	118770	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.4940E+0	-4.9401E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	121022	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5032E+0	-5.0322E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	123277	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0512E+1	-5.1241E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	125530	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5216E+0	-5.2163E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	127788	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5308E+0	-5.3082E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	130038	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5400E+0	-5.4001E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	132290	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5492E+0	-5.4921E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	134544	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5584E+0	-5.5841E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	136797	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5676E+0	-5.6759E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	139047	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5768E+0	-5.7676E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	141294	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5859E+0	-5.8593E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	143541	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.5951E+0	-5.9511E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	145790	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.6043E+0	-6.0432E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	148044	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.6137E+0	-6.1369E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	150340	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.6229E+0	-6.2291E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	152599	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.6323E+0	-6.3229E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	154898	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.6415E+0	-6.4147E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	157146	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00	8.6507E+0	-6.5067E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	159400	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.6599E+0	-6.5990E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	161660	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.6691E+0	-6.6913E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	163922	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0678E+1	-6.7837E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	166185	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.6876E+0	-6.8758E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	168443	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.00	1.1697E+1	-6.9678E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	170696	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.7060E+0	-7.0597E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	172948	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	1.0715E+1	-7.1517E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	175202	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.7244E+0	-7.2438E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	177457	1
C5A	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.7336E+0	-7.3357E-1	0.0000E+0	-1.0000E+0	0	244978	1.0	SI	179709	1
