Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Temp C	MS mean	MS corr	MS drift	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	MS drift time	# MS averaged
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00	3.9845E+0	1.5476E-2	0.0000E+0	2.0000E+0	0	245023	1.0	SI	1896	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	6.9666E+0	3.3442E-2	0.0000E+0	2.0000E+0	0	245023	1.0	SI	4097	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.9486E+0	5.1383E-2	0.0000E+0	2.0000E+0	0	245023	1.0	SI	6295	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.9307E+0	6.9316E-2	0.0000E+0	2.0000E+0	0	245023	1.0	SI	8492	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.9127E+0	8.7257E-2	0.0000E+0	2.0000E+0	0	245023	1.0	SI	10690	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.8948E+0	1.0521E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	12889	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.8769E+0	1.2314E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	15086	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.8588E+0	1.4116E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	17294	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.8408E+0	1.5915E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	19498	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.8225E+0	1.7753E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	21749	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.8041E+0	1.9595E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	24006	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.7857E+0	2.1433E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	26258	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.7672E+0	2.3280E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	28521	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.7488E+0	2.5115E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	30769	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.7304E+0	2.6959E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	33028	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.7120E+0	2.8800E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	35283	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.6936E+0	3.0638E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	37535	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.6752E+0	3.2475E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	39786	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.6569E+0	3.4313E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	42037	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.6385E+0	3.6152E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	44290	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.6201E+0	3.7994E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	46547	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.6017E+0	3.9831E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	48797	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.5833E+0	4.1673E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	51054	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.5649E+0	4.3510E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	53305	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.5461E+0	4.5391E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	55609	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.5277E+0	4.7232E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	57865	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.5093E+0	4.9070E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	60117	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.4909E+0	5.0910E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	62371	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.4726E+0	5.2744E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	64618	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.4542E+0	5.4579E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	66866	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.4359E+0	5.6411E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	69110	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.4175E+0	5.8252E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	71365	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3991E+0	6.0089E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	73616	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3807E+0	6.1928E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	75869	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3623E+0	6.3768E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	78123	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3440E+0	6.5603E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	80371	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3256E+0	6.7442E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	82624	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.3072E+0	6.9278E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	84873	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.2889E+0	7.1114E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	87123	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.2705E+0	7.2947E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	89369	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.2521E+0	7.4786E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	91622	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.2337E+0	7.6625E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	93875	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.2154E+0	7.8464E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	96127	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.1969E+0	8.0305E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	98383	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.1786E+0	8.2143E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	100635	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.1602E+0	8.3982E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	102888	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.00	9.1418E+0	8.5824E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	105144	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.1234E+0	8.7660E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	107393	1
 C5B	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	8.1051E+0	8.9493E-1	0.0000E+0	2.0000E+0	0	245023	1.0	SI	109639	1
