Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Temp C	MS mean	MS corr	MS drift	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	MS drift time	# MS averaged
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00	4.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	1897	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.00	7.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	4101	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	6299	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.00	1.6000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	8497	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.00	1.6000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	10694	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.00	1.4000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	12891	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	15089	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	17289	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	19489	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	21746	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.00	1.6000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	24000	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.00	1.9000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	26253	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.00	2.3000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	28515	1
 C5D	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.00	2.6000E+1	0.0000E+0	0.0000E+0	0.0000E+0	0	244749	1.0	SI	30764	1
