Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Temp C	MS mean	MS corr	MS drift	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	MS drift time	# MS averaged
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00	6.0310E+0	-3.0969E-2	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	1899	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.00	1.2067E+1	-6.6847E-2	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	4099	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8103E+1	-1.0273E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	6299	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.00	2.1139E+1	-1.3865E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	8502	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.00	2.2174E+1	-1.7450E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	10700	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.00	2.1211E+1	-2.1118E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	12949	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.00	2.1247E+1	-2.4710E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	15152	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.00	2.1283E+1	-2.8293E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	17349	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.00	2.0319E+1	-3.1876E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	19546	1
 C5F	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.00	2.0355E+1	-3.5545E-1	0.0000E+0	-4.0000E+0	0	245275	1.0	SI	21796	1
