Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Temp C	MS mean	MS corr	MS drift	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	MS drift time	# MS averaged
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00	4.0077E+0	-7.7282E-3	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	1893	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.00	9.0167E+0	-1.6726E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	4097	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.00	1.3026E+1	-2.5728E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	6302	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.00	1.6035E+1	-3.4722E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	8505	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8044E+1	-4.3716E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	10708	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8053E+1	-5.2709E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	12911	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8062E+1	-6.1687E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	15110	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8071E+1	-7.0656E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	17307	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8080E+1	-7.9634E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	19506	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8089E+1	-8.8815E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	21755	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.00	1.7098E+1	-9.7968E-2	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	23997	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.00	1.6107E+1	-1.0716E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	26249	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.00	1.7116E+1	-1.1634E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	28497	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8126E+1	-1.2554E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	30751	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.00	1.8135E+1	-1.3472E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	32999	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.00	1.9144E+1	-1.4391E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	35251	1
C5G	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.00	1.9153E+1	-1.5309E-1	0.0000E+0	-1.0000E+0	0	244947	1.0	SI	37498	1
