Depth	MS corr
0	1.2869E+1
1	1.4852E+1
2	1.4836E+1
3	1.3819E+1
4	1.3803E+1
5	1.3786E+1
6	1.4770E+1
7	1.5753E+1
8	1.6737E+1
9	1.7721E+1
10	1.9704E+1
11	1.9688E+1
12	1.6671E+1
13	1.4654E+1
14	1.4638E+1
15	1.3621E+1
16	1.4605E+1
17	1.4588E+1
18	1.4572E+1
19	1.4555E+1
20	1.4539E+1
21	1.3522E+1
22	1.3506E+1
23	1.4489E+1
24	1.4473E+1
25	1.5456E+1
26	1.5440E+1
27	1.6423E+1
28	1.6407E+1
29	1.6390E+1
30	1.6374E+1
31	1.6357E+1
32	1.6341E+1
33	1.6324E+1
34	1.5308E+1
35	1.5291E+1
36	1.5275E+1
37	1.5258E+1
38	1.6242E+1
39	1.6225E+1
40	1.5209E+1
41	1.4192E+1
42	1.4176E+1
43	1.3159E+1
44	1.3143E+1
45	1.4127E+1
46	1.3110E+1
47	1.3094E+1
48	1.3078E+1
49	1.2062E+1
50	1.2046E+1
51	8.0299E+0
52	4.0138E+0
52	1.1928E+1
53	1.5919E+1
54	1.7909E+1
55	1.6900E+1
56	1.6891E+1
57	1.5882E+1
58	1.4872E+1
59	1.4863E+1
60	1.3854E+1
61	1.2845E+1
62	1.2836E+1
63	1.2826E+1
64	1.1817E+1
65	1.2808E+1
66	1.2798E+1
67	1.4789E+1
68	1.4780E+1
69	1.4771E+1
70	1.3761E+1
71	1.2752E+1
72	1.2743E+1
73	1.2734E+1
74	1.2724E+1
75	1.3715E+1
76	1.3706E+1
77	1.3697E+1
78	1.3687E+1
79	1.3678E+1
80	1.2669E+1
81	1.2660E+1
82	1.1651E+1
83	1.2641E+1
84	1.2632E+1
85	1.1623E+1
86	1.1614E+1
87	1.2604E+1
88	1.3595E+1
89	1.3586E+1
90	1.3576E+1
91	1.3567E+1
92	1.3558E+1
93	1.3549E+1
94	1.3540E+1
95	1.4530E+1
96	1.4521E+1
97	1.4512E+1
98	1.4503E+1
99	1.3493E+1
100	1.4484E+1
101	1.5475E+1
102	1.5466E+1
103	1.5457E+1
104	1.6447E+1
105	1.6438E+1
106	1.6429E+1
107	1.6420E+1
108	1.6411E+1
109	1.6401E+1
110	1.6392E+1
111	1.6383E+1
112	1.7374E+1
113	1.7365E+1
114	1.8355E+1
115	1.9346E+1
116	2.0337E+1
117	2.0328E+1
118	2.1319E+1
119	2.2309E+1
120	2.2300E+1
121	2.3291E+1
122	2.3282E+1
123	2.3273E+1
124	2.3263E+1
125	2.2254E+1
126	2.3245E+1
127	2.2236E+1
128	2.3227E+1
129	2.2217E+1
130	2.2208E+1
131	2.2199E+1
132	2.2190E+1
133	2.1181E+1
134	2.0171E+1
135	1.8162E+1
136	1.9153E+1
137	1.9144E+1
138	1.8135E+1
139	1.8126E+1
140	1.7116E+1
141	1.6107E+1
142	1.7098E+1
143	1.8089E+1
144	1.8080E+1
145	1.8071E+1
146	1.8062E+1
147	1.8053E+1
148	1.8044E+1
149	1.6035E+1
150	1.3026E+1
151	9.0167E+0
152	4.0077E+0
152	1.1712E+1
153	1.5676E+1
154	1.9639E+1
155	2.0602E+1
156	2.0565E+1
157	2.0527E+1
158	2.0491E+1
159	1.9454E+1
160	1.9417E+1
161	1.9380E+1
162	1.8344E+1
163	1.8307E+1
164	1.6269E+1
165	1.5232E+1
166	1.4195E+1
167	1.5158E+1
168	1.4120E+1
169	1.4083E+1
170	1.4047E+1
171	1.5010E+1
172	1.5973E+1
173	1.6936E+1
174	1.6899E+1
175	1.7861E+1
176	1.6825E+1
177	1.7788E+1
178	1.7750E+1
179	1.8714E+1
180	1.7677E+1
181	1.8640E+1
182	1.8603E+1
183	1.6567E+1
184	1.7530E+1
185	1.9493E+1
186	1.8455E+1
187	1.9419E+1
188	1.9382E+1
189	1.9345E+1
190	2.0308E+1
191	2.0272E+1
192	2.1234E+1
193	2.1197E+1
194	2.1160E+1
195	2.0123E+1
196	1.9086E+1
197	2.0049E+1
198	1.8013E+1
199	1.8976E+1
200	1.8939E+1
201	1.9902E+1
202	2.1866E+1
203	2.4829E+1
204	2.5791E+1
205	2.7755E+1
206	2.7718E+1
207	2.6681E+1
208	2.7644E+1
209	2.6607E+1
210	2.5570E+1
211	2.4533E+1
212	2.3497E+1
213	2.2460E+1
214	2.2423E+1
215	2.2386E+1
216	2.3350E+1
217	2.4313E+1
218	2.5276E+1
219	2.6239E+1
220	2.7202E+1
221	2.7165E+1
222	2.6129E+1
223	2.7092E+1
224	2.8055E+1
225	2.9018E+1
226	2.8982E+1
227	2.9945E+1
228	3.1908E+1
229	3.5871E+1
230	4.1835E+1
231	4.7798E+1
232	5.4761E+1
233	6.2724E+1
234	6.8687E+1
235	7.1650E+1
236	6.7614E+1
237	6.0577E+1
238	5.2540E+1
239	4.0503E+1
240	2.9466E+1
241	2.4429E+1
242	2.2392E+1
243	2.0355E+1
244	2.0319E+1
245	2.1283E+1
246	2.1247E+1
247	2.1211E+1
248	2.2174E+1
249	2.1139E+1
250	1.8103E+1
251	1.2067E+1
252	6.0310E+0
252	1.1000E+1
253	1.5000E+1
254	1.8000E+1
255	1.9000E+1
256	2.1000E+1
257	2.0000E+1
258	2.0000E+1
259	1.8000E+1
260	1.8000E+1
261	2.0000E+1
262	1.8000E+1
263	1.9000E+1
264	1.9000E+1
265	1.8000E+1
266	1.9000E+1
267	1.9000E+1
268	1.9000E+1
269	1.9000E+1
270	1.8000E+1
271	1.8000E+1
272	1.7000E+1
273	1.7000E+1
274	1.7000E+1
275	1.7000E+1
276	1.7000E+1
277	1.6000E+1
278	1.7000E+1
279	1.6000E+1
280	1.6000E+1
281	1.6000E+1
282	1.6000E+1
283	1.6000E+1
284	1.7000E+1
285	1.6000E+1
286	1.6000E+1
287	1.7000E+1
288	1.7000E+1
289	1.7000E+1
290	1.8000E+1
291	1.8000E+1
292	1.8000E+1
293	1.8000E+1
294	1.8000E+1
295	1.7000E+1
296	1.7000E+1
297	1.7000E+1
298	1.6000E+1
299	1.6000E+1
300	1.5000E+1
301	1.6000E+1
302	1.5000E+1
303	1.6000E+1
304	1.6000E+1
305	1.7000E+1
306	1.7000E+1
307	1.7000E+1
308	1.7000E+1
309	1.7000E+1
310	1.8000E+1
311	1.8000E+1
312	1.8000E+1
313	1.8000E+1
314	1.9000E+1
315	2.0000E+1
316	2.1000E+1
317	2.1000E+1
318	2.1000E+1
319	2.0000E+1
320	2.0000E+1
321	1.9000E+1
322	1.8000E+1
323	1.7000E+1
324	1.7000E+1
325	1.7000E+1
326	1.6000E+1
327	1.6000E+1
