Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5A	0	-4.0891E-7	-7.9836E-9	5.1015E-9	0.00	90.00	0.00	0.00	181.12	0.71	4.0902E-7	-6.3553E-6	-1.2628E-7	1.2924E-7	3.2036E-11	-7.5056E-11	-6.5537E-11	0.0	NA	NA	NA	NA	-6.3553E-6	-1.2620E-7	1.2930E-7	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22358	1.0	0.0	0.0
C5A	0	-5.2451E-7	-4.1155E-8	2.5449E-8	0.00	90.00	0.00	0.00	184.49	2.77	5.2673E-7	-8.1518E-6	-6.5067E-7	6.4494E-7	4.0841E-11	-9.5686E-11	-8.3550E-11	1.0	NA	NA	NA	NA	-8.1519E-6	-6.5057E-7	6.4502E-7	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22358	1.0	0.0	0.0
C5A	0	-5.4813E-7	-1.1987E-7	9.3833E-8	0.00	90.00	0.00	0.00	192.34	9.49	5.6888E-7	-8.5190E-6	-1.8950E-6	2.3782E-6	4.9111E-11	-1.1506E-10	-1.0047E-10	2.0	NA	NA	NA	NA	-8.5190E-6	-1.8949E-6	2.3783E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22358	1.0	0.0	0.0
C5A	0	-3.0359E-7	-2.4727E-7	2.4384E-7	0.00	90.00	0.00	0.00	219.16	31.91	4.6127E-7	-4.7183E-6	-3.9089E-6	6.1803E-6	5.7923E-11	-1.3570E-10	-1.1849E-10	3.0	NA	NA	NA	NA	-4.7184E-6	-3.9088E-6	6.1805E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22358	1.0	0.0	0.0
C5A	0	4.6219E-7	-4.1391E-7	5.4446E-7	0.00	90.00	0.00	0.00	318.15	41.27	8.2546E-7	7.1834E-6	-6.5432E-6	1.3800E-5	6.6188E-11	-1.5507E-10	-1.3540E-10	4.0	NA	NA	NA	NA	7.1833E-6	-6.5430E-6	1.3800E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22358	1.0	0.0	0.0
C5A	0	1.9719E-6	-5.8698E-7	1.1447E-6	0.00	90.00	0.00	0.00	343.42	29.09	2.3544E-6	3.0647E-5	-9.2791E-6	2.9014E-5	7.4470E-11	-1.7447E-10	-1.5234E-10	5.0	NA	NA	NA	NA	3.0647E-5	-9.2789E-6	2.9015E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22358	1.0	0.0	0.0
C5A	0	3.9716E-6	-6.6816E-7	2.1888E-6	0.00	90.00	0.00	0.00	350.45	28.52	4.5838E-6	6.1727E-5	-1.0562E-5	5.5477E-5	8.2742E-11	-1.9385E-10	-1.6927E-10	6.0	NA	NA	NA	NA	6.1727E-5	-1.0562E-5	5.5478E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22358	1.0	0.0	0.0
C5A	0	6.0909E-6	-5.4257E-7	3.7730E-6	0.00	90.00	0.00	0.00	354.91	31.67	7.1853E-6	9.4664E-5	-8.5772E-6	9.5629E-5	9.1535E-11	-2.1445E-10	-1.8725E-10	7.0	NA	NA	NA	NA	9.4664E-5	-8.5770E-6	9.5630E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22358	1.0	0.0	0.0
C5A	0	7.8786E-6	-2.3175E-7	5.7003E-6	0.00	90.00	0.00	0.00	358.32	35.87	9.7272E-6	1.2245E-4	-3.6638E-6	1.4448E-4	9.9819E-11	-2.3386E-10	-2.0420E-10	8.0	NA	NA	NA	NA	1.2245E-4	-3.6635E-6	1.4448E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22358	1.0	0.0	0.0
C5A	0	9.0407E-6	1.6902E-7	7.7764E-6	0.00	90.00	0.00	0.00	1.07	40.70	1.1926E-5	1.4051E-4	2.6716E-6	1.9710E-4	1.0808E-10	-2.5322E-10	-2.2111E-10	9.0	NA	NA	NA	NA	1.4051E-4	2.6718E-6	1.9710E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-2.1480E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22358	1.0	0.0	0.0
