Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5B	0	-8.1644E-7	2.3129E-7	6.4924E-7	0.00	90.00	0.00	0.00	164.18	37.42	1.0684E-6	-1.2689E-5	3.6560E-6	1.6456E-5	1.9541E-10	-2.6706E-10	2.2208E-11	0.0	NA	NA	NA	NA	-1.2689E-5	3.6562E-6	1.6456E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22341	1.0	0.0	0.0
C5B	0	-5.3407E-7	2.7072E-7	1.2421E-6	0.00	90.00	0.00	0.00	153.12	64.26	1.3789E-6	-8.3002E-6	4.2792E-6	3.1483E-5	2.4749E-10	-3.3823E-10	2.8127E-11	1.0	NA	NA	NA	NA	-8.3005E-6	4.2795E-6	3.1482E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22341	1.0	0.0	0.0
C5B	0	4.8397E-7	2.4883E-7	2.3225E-6	0.00	90.00	0.00	0.00	27.21	76.81	2.3854E-6	7.5222E-6	3.9331E-6	5.8867E-5	2.9623E-10	-4.0485E-10	3.3667E-11	2.0	NA	NA	NA	NA	7.5219E-6	3.9335E-6	5.8867E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22341	1.0	0.0	0.0
C5B	0	2.5049E-6	1.0157E-7	3.9820E-6	0.00	90.00	0.00	0.00	2.32	57.81	4.7055E-6	3.8932E-5	1.6052E-6	1.0093E-4	3.4835E-10	-4.7608E-10	3.9590E-11	3.0	NA	NA	NA	NA	3.8931E-5	1.6056E-6	1.0093E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22341	1.0	0.0	0.0
C5B	0	5.5009E-6	-2.0787E-7	6.5360E-6	0.00	90.00	0.00	0.00	357.84	49.90	8.5453E-6	8.5495E-5	-3.2866E-6	1.6566E-4	3.9876E-10	-5.4498E-10	4.5320E-11	4.0	NA	NA	NA	NA	8.5495E-5	-3.2860E-6	1.6566E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22341	1.0	0.0	0.0
C5B	0	8.5200E-6	-6.8548E-7	9.8432E-6	0.00	90.00	0.00	0.00	355.40	49.03	1.3036E-5	1.3242E-4	-1.0837E-5	2.4948E-4	4.4766E-10	-6.1181E-10	5.0877E-11	5.0	NA	NA	NA	NA	1.3242E-4	-1.0836E-5	2.4948E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22341	1.0	0.0	0.0
C5B	0	1.0806E-5	-1.4323E-6	1.3626E-5	0.00	90.00	0.00	0.00	352.45	51.34	1.7450E-5	1.6795E-4	-2.2643E-5	3.4536E-4	4.9812E-10	-6.8076E-10	5.6611E-11	6.0	NA	NA	NA	NA	1.6795E-4	-2.2642E-5	3.4536E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22341	1.0	0.0	0.0
C5B	0	1.1811E-5	-2.7017E-6	1.7306E-5	0.00	90.00	0.00	0.00	347.12	55.00	2.1125E-5	1.8356E-4	-4.2709E-5	4.3863E-4	5.4854E-10	-7.4967E-10	6.2342E-11	7.0	NA	NA	NA	NA	1.8356E-4	-4.2709E-5	4.3863E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22341	1.0	0.0	0.0
C5B	0	1.1407E-5	-4.5438E-6	2.0264E-5	0.00	90.00	0.00	0.00	338.28	58.79	2.3693E-5	1.7729E-4	-7.1830E-5	5.1360E-4	5.9734E-10	-8.1636E-10	6.7888E-11	8.0	NA	NA	NA	NA	1.7729E-4	-7.1829E-5	5.1360E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22341	1.0	0.0	0.0
C5B	0	1.0132E-5	-6.8293E-6	2.2438E-5	0.00	90.00	0.00	0.00	326.02	61.43	2.5549E-5	1.5748E-4	-1.0796E-4	5.6872E-4	6.4614E-10	-8.8305E-10	7.3434E-11	9.0	NA	NA	NA	NA	1.5748E-4	-1.0796E-4	5.6872E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22341	1.0	0.0	0.0
