Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5C	0	-9.2071E-7	2.5043E-7	2.9284E-7	0.00	90.00	0.00	0.00	164.78	17.06	9.9809E-7	-1.4310E-5	3.9590E-6	7.4222E-6	-7.4138E-11	1.0856E-10	-1.0427E-10	0.0	NA	NA	NA	NA	-1.4310E-5	3.9589E-6	7.4223E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22328	1.0	0.0	0.0
C5C	0	-7.8447E-7	2.1243E-7	5.8281E-7	0.00	90.00	0.00	0.00	164.85	35.64	1.0001E-6	-1.2192E-5	3.3583E-6	1.4772E-5	-9.4527E-11	1.3841E-10	-1.3295E-10	1.0	NA	NA	NA	NA	-1.2192E-5	3.3582E-6	1.4772E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22328	1.0	0.0	0.0
C5C	0	-1.3685E-8	-4.0306E-9	1.1217E-6	0.00	90.00	0.00	0.00	196.41	89.27	1.1218E-6	-2.1280E-7	-6.3550E-8	2.8430E-5	-1.1317E-10	1.6571E-10	-1.5916E-10	2.0	NA	NA	NA	NA	-2.1269E-7	-6.3716E-8	2.8431E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22328	1.0	0.0	0.0
C5C	0	1.8235E-6	-5.3637E-7	2.0034E-6	0.00	90.00	0.00	0.00	343.61	46.51	2.7616E-6	2.8341E-5	-8.4788E-6	5.0777E-5	-1.3342E-10	1.9537E-10	-1.8765E-10	3.0	NA	NA	NA	NA	2.8341E-5	-8.4790E-6	5.0777E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22328	1.0	0.0	0.0
C5C	0	4.8873E-6	-1.4531E-6	3.4182E-6	0.00	90.00	0.00	0.00	343.44	33.84	6.1385E-6	7.5958E-5	-2.2970E-5	8.6637E-5	-1.5258E-10	2.2341E-10	-2.1459E-10	4.0	NA	NA	NA	NA	7.5959E-5	-2.2970E-5	8.6637E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22328	1.0	0.0	0.0
C5C	0	8.4911E-6	-2.5652E-6	5.4351E-6	0.00	90.00	0.00	0.00	343.19	31.50	1.0403E-5	1.3197E-4	-4.0550E-5	1.3776E-4	-1.7173E-10	2.5147E-10	-2.4153E-10	5.0	NA	NA	NA	NA	1.3197E-4	-4.0550E-5	1.3776E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22328	1.0	0.0	0.0
C5C	0	1.1773E-5	-3.5277E-6	7.8959E-6	0.00	90.00	0.00	0.00	343.32	32.72	1.4608E-5	1.8298E-4	-5.5765E-5	2.0013E-4	-1.9086E-10	2.7947E-10	-2.6843E-10	6.0	NA	NA	NA	NA	1.8298E-4	-5.5765E-5	2.0013E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22328	1.0	0.0	0.0
C5C	0	1.4080E-5	-4.1872E-6	1.0530E-5	0.00	90.00	0.00	0.00	343.44	35.64	1.8074E-5	2.1882E-4	-6.6191E-5	2.6691E-4	-2.1001E-10	3.0752E-10	-2.9537E-10	7.0	NA	NA	NA	NA	2.1882E-4	-6.6192E-5	2.6691E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22328	1.0	0.0	0.0
C5C	0	1.4812E-5	-4.4098E-6	1.2806E-5	0.00	90.00	0.00	0.00	343.42	39.64	2.0071E-5	2.3021E-4	-6.9709E-5	3.2457E-4	-2.3039E-10	3.3736E-10	-3.2403E-10	8.0	NA	NA	NA	NA	2.3021E-4	-6.9709E-5	3.2457E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22328	1.0	0.0	0.0
C5C	0	1.4238E-5	-4.3547E-6	1.4811E-5	0.00	90.00	0.00	0.00	342.99	44.85	2.1001E-5	2.2128E-4	-6.8838E-5	3.7541E-4	-2.4953E-10	3.6539E-10	-3.5095E-10	9.0	NA	NA	NA	NA	2.2128E-4	-6.8839E-5	3.7541E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	2.0500E-9	0.0000E+0	-1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22328	1.0	0.0	0.0
