Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5D	0	-2.2133E-7	2.9970E-7	3.2931E-7	0.00	90.00	0.00	0.00	126.45	41.47	4.9725E-7	-3.4398E-6	2.1906E-6	8.3468E-6	1.0872E-10	-2.5471E-6	6.1164E-11	0.0	NA	NA	NA	NA	-3.4399E-6	4.7377E-6	8.3467E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22315	1.0	0.0	0.0
C5D	0	-4.2209E-7	4.5192E-7	6.1270E-7	0.00	90.00	0.00	0.00	133.05	44.74	8.7051E-7	-6.5600E-6	3.9553E-6	1.5530E-5	1.3611E-10	-3.1887E-6	7.6571E-11	1.0	NA	NA	NA	NA	-6.5602E-6	7.1439E-6	1.5529E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22315	1.0	0.0	0.0
C5D	0	-7.6262E-7	6.9388E-7	1.0944E-6	0.00	90.00	0.00	0.00	137.70	46.71	1.5036E-6	-1.1852E-5	7.0955E-6	2.7738E-5	1.6533E-10	-3.8734E-6	9.3013E-11	2.0	NA	NA	NA	NA	-1.1853E-5	1.0969E-5	2.7738E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22315	1.0	0.0	0.0
C5D	0	-1.2621E-6	1.0792E-6	1.8729E-6	0.00	90.00	0.00	0.00	139.47	48.44	2.5031E-6	-1.9616E-5	1.2545E-5	4.7470E-5	1.9271E-10	-4.5148E-6	1.0842E-10	3.0	NA	NA	NA	NA	-1.9616E-5	1.7060E-5	4.7470E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22315	1.0	0.0	0.0
C5D	0	-1.6044E-6	1.5742E-6	2.9860E-6	0.00	90.00	0.00	0.00	135.54	53.03	3.7374E-6	-2.4935E-5	1.9728E-5	7.5683E-5	2.2012E-10	-5.1569E-6	1.2383E-10	4.0	NA	NA	NA	NA	-2.4936E-5	2.4885E-5	7.5683E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22315	1.0	0.0	0.0
C5D	0	-1.2225E-6	1.7675E-6	4.4205E-6	0.00	90.00	0.00	0.00	124.67	64.07	4.9152E-6	-1.9000E-5	2.2142E-5	1.1204E-4	2.4751E-10	-5.7986E-6	1.3924E-10	5.0	NA	NA	NA	NA	-1.9000E-5	2.7941E-5	1.1204E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22315	1.0	0.0	0.0
C5D	0	4.0196E-7	1.0101E-6	6.2767E-6	0.00	90.00	0.00	0.00	68.30	80.17	6.3702E-6	6.2475E-6	9.4845E-6	1.5909E-4	2.7673E-10	-6.4831E-6	1.5568E-10	6.0	NA	NA	NA	NA	6.2472E-6	1.5968E-5	1.5909E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22315	1.0	0.0	0.0
C5D	0	3.1229E-6	-9.5416E-7	8.5160E-6	0.00	90.00	0.00	0.00	343.01	69.02	9.1206E-6	4.8536E-5	-2.2208E-5	2.1585E-4	3.0412E-10	-7.1247E-6	1.7109E-10	7.0	NA	NA	NA	NA	4.8536E-5	-1.5083E-5	2.1585E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22315	1.0	0.0	0.0
C5D	0	6.1593E-6	-3.8852E-6	1.1220E-5	0.00	90.00	0.00	0.00	327.76	57.02	1.3376E-5	9.5728E-5	-6.9184E-5	2.8439E-4	3.3152E-10	-7.7666E-6	1.8650E-10	8.0	NA	NA	NA	NA	9.5727E-5	-6.1418E-5	2.8439E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22315	1.0	0.0	0.0
C5D	0	8.2499E-6	-6.6566E-6	1.3972E-5	0.00	90.00	0.00	0.00	321.10	52.81	1.7538E-5	1.2822E-4	-1.1368E-4	3.5413E-4	3.6077E-10	-8.4518E-6	2.0296E-10	9.0	NA	NA	NA	NA	1.2822E-4	-1.0523E-4	3.5413E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.5000E-9	0.0000E+0	-8.1996E-5	0.0000E+0	1.9690E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22315	1.0	0.0	0.0
