Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5E	0	9.0690E-7	-7.3854E-7	5.2712E-7	0.00	90.00	0.00	0.00	320.84	24.26	1.2829E-6	1.4095E-5	-1.1675E-5	1.3360E-5	-1.3741E-10	1.4858E-10	-8.6490E-11	0.0	NA	NA	NA	NA	1.4095E-5	-1.1675E-5	1.3360E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22302	1.0	0.0	0.0
C5E	0	2.0715E-7	-2.7245E-7	1.0226E-6	0.00	90.00	0.00	0.00	307.25	71.50	1.0784E-6	3.2193E-6	-4.3066E-6	2.5920E-5	-1.7316E-10	1.8724E-10	-1.0899E-10	1.0	NA	NA	NA	NA	3.2195E-6	-4.3068E-6	2.5920E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22302	1.0	0.0	0.0
C5E	0	-1.6243E-6	9.8681E-7	1.8396E-6	0.00	90.00	0.00	0.00	148.72	44.07	2.6451E-6	-2.5245E-5	1.5600E-5	4.6627E-5	-2.0898E-10	2.2598E-10	-1.3154E-10	2.0	NA	NA	NA	NA	-2.5245E-5	1.5599E-5	4.6627E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22302	1.0	0.0	0.0
C5E	0	-4.8984E-6	3.3283E-6	3.1067E-6	0.00	90.00	0.00	0.00	145.80	27.68	6.6876E-6	-7.6131E-5	5.2614E-5	7.8743E-5	-2.4471E-10	2.6461E-10	-1.5403E-10	3.0	NA	NA	NA	NA	-7.6130E-5	5.2614E-5	7.8743E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22302	1.0	0.0	0.0
C5E	0	-8.7348E-6	6.3467E-6	4.9796E-6	0.00	90.00	0.00	0.00	144.00	24.76	1.1890E-5	-1.3576E-4	1.0033E-4	1.2621E-4	-2.8052E-10	3.0333E-10	-1.7657E-10	4.0	NA	NA	NA	NA	-1.3576E-4	1.0033E-4	1.2621E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22302	1.0	0.0	0.0
C5E	0	-1.1561E-5	8.9479E-6	7.4623E-6	0.00	90.00	0.00	0.00	142.26	27.04	1.6414E-5	-1.7969E-4	1.4145E-4	1.8914E-4	-3.1630E-10	3.4202E-10	-1.9909E-10	5.0	NA	NA	NA	NA	-1.7969E-4	1.4145E-4	1.8914E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22302	1.0	0.0	0.0
C5E	0	-1.3198E-5	1.0844E-5	1.1145E-5	0.00	90.00	0.00	0.00	140.59	33.12	2.0396E-5	-2.0512E-4	1.7143E-4	2.8248E-4	-3.5201E-10	3.8064E-10	-2.2158E-10	6.0	NA	NA	NA	NA	-2.0512E-4	1.7143E-4	2.8248E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22302	1.0	0.0	0.0
C5E	0	-1.3477E-5	1.1675E-5	1.5653E-5	0.00	90.00	0.00	0.00	139.10	41.28	2.3726E-5	-2.0945E-4	1.8457E-4	3.9674E-4	-3.9013E-10	4.2185E-10	-2.4557E-10	7.0	NA	NA	NA	NA	-2.0945E-4	1.8456E-4	3.9674E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22302	1.0	0.0	0.0
C5E	0	-1.3364E-5	1.2218E-5	2.0397E-5	0.00	90.00	0.00	0.00	137.56	48.40	2.7275E-5	-2.0770E-4	1.9315E-4	5.1699E-4	-4.2586E-10	4.6049E-10	-2.6806E-10	8.0	NA	NA	NA	NA	-2.0770E-4	1.9314E-4	5.1699E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22302	1.0	0.0	0.0
C5E	0	-1.4028E-5	1.2996E-5	2.4570E-5	0.00	90.00	0.00	0.00	137.19	52.11	3.1135E-5	-2.1802E-4	2.0545E-4	6.2275E-4	-4.6166E-10	4.9920E-10	-2.9059E-10	9.0	NA	NA	NA	NA	-2.1802E-4	2.0545E-4	6.2275E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.5500E-9	0.0000E+0	4.9200E-9	0.0000E+0	-2.8640E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22302	1.0	0.0	0.0
