Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5F	0	-1.5480E-6	4.2879E-7	4.5499E-7	0.00	90.00	0.00	0.00	164.52	15.82	1.6695E-6	-2.4059E-5	6.7781E-6	1.1532E-5	-1.8280E-10	-1.1337E-10	-2.7497E-11	0.0	NA	NA	NA	NA	-2.4059E-5	6.7782E-6	1.1532E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22289	1.0	0.0	0.0
C5F	0	-1.4948E-6	4.9505E-7	9.5545E-7	0.00	90.00	0.00	0.00	161.68	31.25	1.8419E-6	-2.3233E-5	7.8257E-6	2.4217E-5	-2.3227E-10	-1.4405E-10	-3.4938E-11	1.0	NA	NA	NA	NA	-2.3232E-5	7.8258E-6	2.4217E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22289	1.0	0.0	0.0
C5F	0	-6.3001E-7	4.1678E-7	1.8637E-6	0.00	90.00	0.00	0.00	146.51	67.94	2.0110E-6	-9.7920E-6	6.5883E-6	4.7237E-5	-2.7721E-10	-1.7191E-10	-4.1697E-11	2.0	NA	NA	NA	NA	-9.7917E-6	6.5885E-6	4.7237E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22289	1.0	0.0	0.0
C5F	0	1.6802E-6	4.8109E-9	3.3305E-6	0.00	90.00	0.00	0.00	0.16	63.23	3.7304E-6	2.6113E-5	7.5850E-8	8.4416E-5	-3.2362E-10	-2.0070E-10	-4.8679E-11	3.0	NA	NA	NA	NA	2.6113E-5	7.6051E-8	8.4416E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22289	1.0	0.0	0.0
C5F	0	5.9834E-6	-1.0164E-6	5.7412E-6	0.00	90.00	0.00	0.00	350.36	43.41	8.3543E-6	9.2993E-5	-1.6067E-5	1.4552E-4	-3.7316E-10	-2.3142E-10	-5.6131E-11	4.0	NA	NA	NA	NA	9.2994E-5	-1.6067E-5	1.4552E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22289	1.0	0.0	0.0
C5F	0	1.1334E-5	-2.7273E-6	9.2123E-6	0.00	90.00	0.00	0.00	346.47	38.32	1.4858E-5	1.7615E-4	-4.3114E-5	2.3350E-4	-4.1970E-10	-2.6029E-10	-6.3132E-11	5.0	NA	NA	NA	NA	1.7615E-4	-4.3113E-5	2.3350E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22289	1.0	0.0	0.0
C5F	0	1.6606E-5	-4.7636E-6	1.3621E-5	0.00	90.00	0.00	0.00	343.99	38.25	2.2000E-5	2.5809E-4	-7.5304E-5	3.4524E-4	-4.6610E-10	-2.8906E-10	-7.0111E-11	6.0	NA	NA	NA	NA	2.5809E-4	-7.5304E-5	3.4524E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22289	1.0	0.0	0.0
C5F	0	2.1032E-5	-6.7526E-6	1.8451E-5	0.00	90.00	0.00	0.00	342.20	39.87	2.8781E-5	3.2688E-4	-1.0675E-4	4.6765E-4	-5.1249E-10	-3.1783E-10	-7.7089E-11	7.0	NA	NA	NA	NA	3.2688E-4	-1.0675E-4	4.6765E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22289	1.0	0.0	0.0
C5F	0	2.3644E-5	-8.0939E-6	2.2610E-5	0.00	90.00	0.00	0.00	341.10	42.14	3.3701E-5	3.6748E-4	-1.2795E-4	5.7306E-4	-5.5892E-10	-3.4663E-10	-8.4074E-11	8.0	NA	NA	NA	NA	3.6748E-4	-1.2795E-4	5.7306E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22289	1.0	0.0	0.0
C5F	0	2.4608E-5	-8.5099E-6	2.6031E-5	0.00	90.00	0.00	0.00	340.92	44.99	3.6819E-5	3.8246E-4	-1.3453E-4	6.5978E-4	-6.0547E-10	-3.7549E-10	-9.1075E-11	9.0	NA	NA	NA	NA	3.8246E-4	-1.3453E-4	6.5978E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22289	1.0	0.0	0.0
C5F	0	2.4198E-5	-7.8643E-6	2.8582E-5	0.00	90.00	0.00	0.00	342.00	48.32	3.8266E-5	3.7608E-4	-1.2432E-4	7.2443E-4	-6.5029E-10	-4.0329E-10	-9.7817E-11	10.0	NA	NA	NA	NA	3.7608E-4	-1.2432E-4	7.2443E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-5.9500E-9	0.0000E+0	-3.6900E-9	0.0000E+0	-8.9500E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.10	22289	1.0	0.0	0.0
