Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5G	0	5.3930E-7	-1.2361E-7	4.2942E-7	0.00	90.00	0.00	0.00	347.09	37.82	7.0037E-7	8.3843E-6	-1.9553E-6	1.0884E-5	2.4699E-9	-1.3256E-9	-3.5058E-10	0.0	NA	NA	NA	NA	8.3818E-6	-1.9540E-6	1.0884E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22276	1.0	0.0	0.0
C5G	0	5.3268E-7	-2.5202E-7	8.6307E-7	0.00	90.00	0.00	0.00	334.68	55.68	1.0451E-6	8.2820E-6	-3.9856E-6	2.1875E-5	3.1336E-9	-1.6818E-9	-4.4478E-10	1.0	NA	NA	NA	NA	8.2789E-6	-3.9839E-6	2.1875E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22276	1.0	0.0	0.0
C5G	0	2.4919E-7	-4.7318E-7	1.6099E-6	0.00	90.00	0.00	0.00	297.77	71.62	1.6964E-6	3.8766E-6	-7.4821E-6	4.0805E-5	3.7567E-9	-2.0162E-9	-5.3322E-10	2.0	NA	NA	NA	NA	3.8728E-6	-7.4801E-6	4.0806E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22276	1.0	0.0	0.0
C5G	0	-5.9640E-7	-8.1446E-7	2.8649E-6	0.00	90.00	0.00	0.00	233.79	70.59	3.0375E-6	-9.2648E-6	-1.2877E-5	7.2612E-5	4.4210E-9	-2.3727E-9	-6.2751E-10	3.0	NA	NA	NA	NA	-9.2693E-6	-1.2875E-5	7.2613E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22276	1.0	0.0	0.0
C5G	0	-1.9044E-6	-1.1411E-6	4.6785E-6	0.00	90.00	0.00	0.00	210.93	64.61	5.1785E-6	-2.9594E-5	-1.8041E-5	1.1858E-4	5.0430E-9	-2.7065E-9	-7.1579E-10	4.0	NA	NA	NA	NA	-2.9599E-5	-1.8038E-5	1.1858E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22276	1.0	0.0	0.0
C5G	0	-3.3632E-6	-1.1243E-6	7.2117E-6	0.00	90.00	0.00	0.00	198.48	63.82	8.0364E-6	-5.2265E-5	-1.7776E-5	1.8279E-4	5.6651E-9	-3.0404E-9	-8.0410E-10	5.0	NA	NA	NA	NA	-5.2270E-5	-1.7773E-5	1.8279E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22276	1.0	0.0	0.0
C5G	0	-5.2114E-6	-4.2182E-7	1.0591E-5	0.00	90.00	0.00	0.00	184.63	63.73	1.1811E-5	-8.0990E-5	-6.6715E-6	2.6843E-4	6.2881E-9	-3.3747E-9	-8.9252E-10	6.0	NA	NA	NA	NA	-8.0996E-5	-6.6681E-6	2.6843E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22276	1.0	0.0	0.0
C5G	0	-7.4453E-6	9.5292E-7	1.4305E-5	0.00	90.00	0.00	0.00	172.71	62.31	1.6155E-5	-1.1571E-4	1.5060E-5	3.6259E-4	6.9102E-9	-3.7086E-9	-9.8083E-10	7.0	NA	NA	NA	NA	-1.1571E-4	1.5064E-5	3.6259E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22276	1.0	0.0	0.0
C5G	0	-1.0008E-5	2.9547E-6	1.8027E-5	0.00	90.00	0.00	0.00	163.55	59.94	2.0829E-5	-1.5553E-4	4.6704E-5	4.5691E-4	7.5744E-9	-4.0651E-9	-1.0751E-9	8.0	NA	NA	NA	NA	-1.5554E-4	4.6708E-5	4.5691E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22276	1.0	0.0	0.0
C5G	0	-1.2501E-5	4.7609E-6	2.0772E-5	0.00	90.00	0.00	0.00	159.15	57.22	2.4707E-5	-1.9429E-4	7.5256E-5	5.2648E-4	8.1967E-9	-4.3991E-9	-1.1634E-9	9.0	NA	NA	NA	NA	-1.9430E-4	7.5261E-5	5.2648E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22276	1.0	0.0	0.0
C5G	0	-1.4345E-5	6.0680E-6	2.2538E-5	0.00	90.00	0.00	0.00	157.07	55.35	2.7396E-5	-2.2294E-4	9.5919E-5	5.7124E-4	8.8188E-9	-4.7330E-9	-1.2517E-9	10.0	NA	NA	NA	NA	-2.2295E-4	9.5923E-5	5.7124E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.10	22276	1.0	0.0	0.0
C5G	0	-1.4627E-5	6.7265E-6	2.3440E-5	0.00	90.00	0.00	0.00	155.30	55.52	2.8436E-5	-2.2732E-4	1.0633E-4	5.9410E-4	9.4833E-9	-5.0896E-9	-1.3460E-9	11.0	NA	NA	NA	NA	-2.2733E-4	1.0633E-4	5.9410E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.11	22276	1.0	0.0	0.0
C5G	0	-1.3475E-5	6.8532E-6	2.3804E-5	0.00	90.00	0.00	0.00	153.04	57.58	2.8199E-5	-2.0941E-4	1.0833E-4	6.0334E-4	1.0105E-8	-5.4233E-9	-1.4343E-9	12.0	NA	NA	NA	NA	-2.0942E-4	1.0834E-4	6.0334E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.12	22276	1.0	0.0	0.0
C5G	0	-1.1673E-5	6.6857E-6	2.4104E-5	0.00	90.00	0.00	0.00	150.20	60.84	2.7603E-5	-1.8141E-4	1.0568E-4	6.1094E-4	1.0729E-8	-5.7581E-9	-1.5228E-9	13.0	NA	NA	NA	NA	-1.8142E-4	1.0569E-4	6.1094E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.13	22276	1.0	0.0	0.0
C5G	0	-9.9896E-6	6.5339E-6	2.4522E-5	0.00	90.00	0.00	0.00	146.81	64.04	2.7272E-5	-1.5525E-4	1.0328E-4	6.2152E-4	1.1351E-8	-6.0918E-9	-1.6111E-9	14.0	NA	NA	NA	NA	-1.5526E-4	1.0329E-4	6.2152E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	7.9450E-8	0.0000E+0	-4.2640E-8	0.0000E+0	-1.1277E-8	None	SAMPLE/CONTINUOUS	YES	NO	0.14	22276	1.0	0.0	0.0
