Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5H	0	-4.1627E-7	3.4833E-7	1.3389E-7	0.00	90.00	0.00	0.00	140.08	13.86	5.5906E-7	-6.4698E-6	5.5063E-6	3.3935E-6	-7.0428E-11	-1.2375E-10	-1.5308E-10	0.0	NA	NA	NA	NA	-6.4697E-6	5.5064E-6	3.3936E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.00	22262	1.0	0.0	0.0
C5H	0	-4.5136E-7	3.6260E-7	2.6771E-7	0.00	90.00	0.00	0.00	141.22	24.82	6.3786E-7	-7.0150E-6	5.7318E-6	6.7852E-6	-8.8295E-11	-1.5515E-10	-1.9192E-10	1.0	NA	NA	NA	NA	-7.0150E-6	5.7320E-6	6.7854E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.01	22262	1.0	0.0	0.0
C5H	0	-3.1540E-7	2.1165E-7	5.1130E-7	0.00	90.00	0.00	0.00	146.14	53.39	6.3695E-7	-4.9021E-6	3.3456E-6	1.2959E-5	-1.0619E-10	-1.8660E-10	-2.3082E-10	2.0	NA	NA	NA	NA	-4.9020E-6	3.3458E-6	1.2959E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.02	22262	1.0	0.0	0.0
C5H	0	1.5215E-7	-2.5935E-7	9.1390E-7	0.00	90.00	0.00	0.00	300.40	71.79	9.6210E-7	2.3646E-6	-4.1000E-6	2.3163E-5	-1.2408E-10	-2.1803E-10	-2.6971E-10	3.0	NA	NA	NA	NA	2.3647E-6	-4.0998E-6	2.3164E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.03	22262	1.0	0.0	0.0
C5H	0	1.1091E-6	-1.1895E-6	1.5288E-6	0.00	90.00	0.00	0.00	313.00	43.23	2.2321E-6	1.7238E-5	-1.8805E-5	3.8749E-5	-1.4199E-10	-2.4949E-10	-3.0862E-10	4.0	NA	NA	NA	NA	1.7238E-5	-1.8804E-5	3.8749E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.04	22262	1.0	0.0	0.0
C5H	0	2.6446E-6	-2.6361E-6	2.4698E-6	0.00	90.00	0.00	0.00	315.09	33.48	4.4769E-6	4.1103E-5	-4.1672E-5	6.2599E-5	-1.5989E-10	-2.8095E-10	-3.4753E-10	5.0	NA	NA	NA	NA	4.1103E-5	-4.1671E-5	6.2599E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.05	22262	1.0	0.0	0.0
C5H	0	4.3048E-6	-4.1403E-6	3.6622E-6	0.00	90.00	0.00	0.00	316.12	31.51	7.0061E-6	6.6905E-5	-6.5451E-5	9.2822E-5	-1.7778E-10	-3.1238E-10	-3.8641E-10	6.0	NA	NA	NA	NA	6.6905E-5	-6.5450E-5	9.2822E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.06	22262	1.0	0.0	0.0
C5H	0	5.7245E-6	-5.4246E-6	5.0012E-6	0.00	90.00	0.00	0.00	316.54	32.38	9.3385E-6	8.8970E-5	-8.5752E-5	1.2676E-4	-1.9567E-10	-3.4383E-10	-4.2531E-10	7.0	NA	NA	NA	NA	8.8970E-5	-8.5752E-5	1.2676E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.07	22262	1.0	0.0	0.0
C5H	0	6.6725E-6	-6.2515E-6	6.2994E-6	0.00	90.00	0.00	0.00	316.87	34.56	1.1103E-5	1.0370E-4	-9.8824E-5	1.5966E-4	-2.1359E-10	-3.7531E-10	-4.6425E-10	8.0	NA	NA	NA	NA	1.0370E-4	-9.8824E-5	1.5966E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.08	22262	1.0	0.0	0.0
C5H	0	7.0212E-6	-6.6229E-6	7.2762E-6	0.00	90.00	0.00	0.00	316.67	37.01	1.2087E-5	1.0912E-4	-1.0470E-4	1.8442E-4	-2.3147E-10	-4.0673E-10	-5.0312E-10	9.0	NA	NA	NA	NA	1.0912E-4	-1.0470E-4	1.8442E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.09	22262	1.0	0.0	0.0
C5H	0	7.0091E-6	-6.7945E-6	7.9860E-6	0.00	90.00	0.00	0.00	315.89	39.29	1.2612E-5	1.0894E-4	-1.0741E-4	2.0241E-4	-2.4936E-10	-4.3816E-10	-5.4201E-10	10.0	NA	NA	NA	NA	1.0894E-4	-1.0741E-4	2.0241E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.10	22262	1.0	0.0	0.0
C5H	0	6.9684E-6	-6.8677E-6	8.5242E-6	0.00	90.00	0.00	0.00	315.42	41.06	1.2976E-5	1.0830E-4	-1.0857E-4	2.1605E-4	-2.6727E-10	-4.6962E-10	-5.8092E-10	11.0	NA	NA	NA	NA	1.0830E-4	-1.0857E-4	2.1605E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.11	22262	1.0	0.0	0.0
C5H	0	6.9475E-6	-6.7793E-6	9.0366E-6	0.00	90.00	0.00	0.00	315.70	42.95	1.3262E-5	1.0798E-4	-1.0717E-4	2.2904E-4	-2.8514E-10	-5.0104E-10	-6.1978E-10	12.0	NA	NA	NA	NA	1.0798E-4	-1.0717E-4	2.2904E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.12	22262	1.0	0.0	0.0
C5H	0	6.8815E-6	-6.5257E-6	9.5655E-6	0.00	90.00	0.00	0.00	316.52	45.25	1.3470E-5	1.0695E-4	-1.0316E-4	2.4245E-4	-3.0304E-10	-5.3249E-10	-6.5868E-10	13.0	NA	NA	NA	NA	1.0695E-4	-1.0316E-4	2.4245E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.13	22262	1.0	0.0	0.0
C5H	0	6.7563E-6	-6.2808E-6	9.9653E-6	0.00	90.00	0.00	0.00	317.09	47.21	1.3579E-5	1.0501E-4	-9.9287E-5	2.5258E-4	-3.2091E-10	-5.6388E-10	-6.9752E-10	14.0	NA	NA	NA	NA	1.0501E-4	-9.9287E-5	2.5258E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.14	22262	1.0	0.0	0.0
C5H	0	6.5561E-6	-6.2857E-6	1.0117E-5	0.00	90.00	0.00	0.00	316.21	48.08	1.3596E-5	1.0189E-4	-9.9366E-5	2.5641E-4	-3.3884E-10	-5.9538E-10	-7.3648E-10	15.0	NA	NA	NA	NA	1.0190E-4	-9.9365E-5	2.5642E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.15	22262	1.0	0.0	0.0
C5H	0	6.3295E-6	-6.6110E-6	1.0009E-5	0.00	90.00	0.00	0.00	313.75	47.56	1.3563E-5	9.8372E-5	-1.0451E-4	2.5368E-4	-3.5675E-10	-6.2686E-10	-7.7542E-10	16.0	NA	NA	NA	NA	9.8373E-5	-1.0451E-4	2.5368E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.16	22262	1.0	0.0	0.0
C5H	0	6.0690E-6	-7.0449E-6	9.6937E-6	0.00	90.00	0.00	0.00	310.74	46.19	1.3433E-5	9.4325E-5	-1.1137E-4	2.4570E-4	-3.7462E-10	-6.5825E-10	-8.1425E-10	17.0	NA	NA	NA	NA	9.4325E-5	-1.1137E-4	2.4570E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.17	22262	1.0	0.0	0.0
C5H	0	5.7892E-6	-7.3579E-6	9.2156E-6	0.00	90.00	0.00	0.00	308.20	44.55	1.3137E-5	8.9975E-5	-1.1631E-4	2.3358E-4	-3.9252E-10	-6.8972E-10	-8.5318E-10	18.0	NA	NA	NA	NA	8.9976E-5	-1.1631E-4	2.3358E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	0.18	22262	1.0	0.0	0.0
