Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5H	0	2.2157E-6	-4.5668E-6	-4.1436E-6	0.00	90.00	0.00	0.00	295.88	-39.23	6.5524E-6	3.4435E-5	-7.2193E-5	-1.0503E-4	-1.1083E-9	-1.9475E-9	-2.4090E-9	58.0	NA	NA	NA	NA	3.4436E-5	-7.2191E-5	-1.0502E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.4000E-9	0.0000E+0	-2.4600E-9	0.0000E+0	-3.0430E-9	None	SAMPLE/CONTINUOUS	YES	NO	-1	22262	1.0	0.0	0.0
C5H	50	1.8484E-6	-4.4623E-6	-4.1136E-6	0.00	90.00	0.00	0.00	292.50	-40.42	6.3443E-6	2.8731E-5	-7.0538E-5	-1.0426E-4	3.3429E-9	1.9580E-9	2.8494E-9	58.0	NA	NA	NA	NA	2.8728E-5	-7.0540E-5	-1.0426E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	4.2000E-9	0.0000E+0	2.4600E-9	0.0000E+0	3.5800E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22264	1.0	0.0	0.0
C5H	100	1.6046E-6	-3.9252E-6	-3.8276E-6	0.00	90.00	0.00	0.00	292.23	-42.07	5.7125E-6	2.4937E-5	-6.2056E-5	-9.7015E-5	-8.3361E-10	-6.1846E-9	-1.2790E-9	58.0	NA	NA	NA	NA	2.4938E-5	-6.2049E-5	-9.7014E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.0500E-9	0.0000E+0	-7.7900E-9	0.0000E+0	-1.6110E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22265	1.0	0.0	0.0
C5H	150	1.3663E-6	-3.2698E-6	-3.2874E-6	0.00	90.00	0.00	0.00	292.68	-42.85	4.8338E-6	2.1232E-5	-5.1682E-5	-8.3322E-5	-2.2230E-9	7.1612E-9	9.9479E-10	58.0	NA	NA	NA	NA	2.1234E-5	-5.1689E-5	-8.3323E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-2.8000E-9	0.0000E+0	9.0200E-9	0.0000E+0	1.2530E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22266	1.0	0.0	0.0
C5H	200	1.0848E-6	-2.6622E-6	-2.6212E-6	0.00	90.00	0.00	0.00	292.17	-42.36	3.8904E-6	1.6859E-5	-4.2081E-5	-6.6433E-5	-8.2998E-10	3.2409E-9	4.9522E-9	58.0	NA	NA	NA	NA	1.6860E-5	-4.2084E-5	-6.6438E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-1.0500E-9	0.0000E+0	4.1000E-9	0.0000E+0	6.2650E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22267	1.0	0.0	0.0
C5H	250	7.7346E-7	-2.1821E-6	-2.0147E-6	0.00	90.00	0.00	0.00	289.52	-41.03	3.0690E-6	1.2023E-5	-3.4501E-5	-5.1064E-5	1.6640E-9	-7.1475E-9	2.8368E-10	58.0	NA	NA	NA	NA	1.2021E-5	-3.4494E-5	-5.1064E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	2.1000E-9	0.0000E+0	-9.0200E-9	0.0000E+0	3.5800E-10	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22268	1.0	0.0	0.0
C5H	300	5.3909E-7	-1.7098E-6	-1.4694E-6	0.00	90.00	0.00	0.00	287.50	-39.34	2.3181E-6	8.3811E-6	-2.7034E-5	-3.7240E-5	2.4971E-9	-4.5502E-9	4.3988E-9	58.0	NA	NA	NA	NA	8.3786E-6	-2.7029E-5	-3.7245E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	3.1500E-9	0.0000E+0	-5.7400E-9	0.0000E+0	5.5490E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22269	1.0	0.0	0.0
C5H	400	2.7835E-7	-1.2118E-6	-8.1903E-7	0.00	90.00	0.00	0.00	282.94	-33.37	1.4889E-6	4.3295E-6	-1.9153E-5	-2.0758E-5	3.3280E-9	3.2488E-9	1.4184E-9	58.0	NA	NA	NA	NA	4.3262E-6	-1.9156E-5	-2.0759E-5	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	4.2000E-9	0.0000E+0	4.1000E-9	0.0000E+0	1.7900E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22270	1.0	0.0	0.0
C5H	500	9.4684E-8	-8.1376E-7	-3.7157E-7	0.00	90.00	0.00	0.00	276.64	-24.40	8.9958E-7	1.4682E-6	-1.2857E-5	-9.4220E-6	-3.3285E-9	7.1483E-9	-4.1139E-9	58.0	NA	NA	NA	NA	1.4716E-6	-1.2864E-5	-9.4179E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	-4.2000E-9	0.0000E+0	9.0200E-9	0.0000E+0	-5.1910E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22271	1.0	0.0	0.0
C5H	600	1.8503E-8	-6.4072E-7	-1.3043E-7	0.00	90.00	0.00	0.00	271.65	-11.50	6.5412E-7	2.8840E-7	-1.0132E-5	-3.3115E-6	8.3317E-10	-3.9040E-9	-5.5394E-9	58.0	NA	NA	NA	NA	2.8757E-7	-1.0128E-5	-3.3060E-6	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	1.0500E-9	0.0000E+0	-4.9200E-9	0.0000E+0	-6.9810E-9	Degauss X, Y, & Z	SAMPLE/CONTINUOUS	YES	NO	-1	22272	1.0	0.0	0.0
