Depth,0.00500000,0.0100000,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000, mean ratio, slope, r, r-squared, ARM
20,0.0635568,0.0607453,0.0607593,0.0630743,,0.0739173,0.0909999,0.111822,0.135655,0.0825662,0.0565427,0.997939,0.995883,0.126318
21,0.0674280,0.0644980,0.0645041,0.0672112,,0.0794701,0.0975985,0.122050,0.147455,0.0887770,0.0597468,0.997883,0.995770,0.124967
22,0.0741864,0.0710745,0.0709867,0.0740033,,0.0878260,0.106735,0.136293,0.164945,0.0982563,0.0656910,0.997950,0.995904,0.124125
23,0.0834183,0.0802517,0.0800201,0.0831648,,0.0987777,0.119314,0.154652,0.186236,0.110729,0.0740190,0.998105,0.996214,0.125349
24,0.0935551,0.0904905,0.0901994,0.0936856,,0.111547,0.134012,0.174235,0.209853,0.124697,0.0832414,0.998310,0.996624,0.128437
25,0.103589,0.100174,0.100243,0.104144,,0.124030,0.148909,0.192899,0.232663,0.138331,0.0922379,0.998399,0.996800,0.131618
26,0.111778,0.108153,0.108513,0.113047,,0.134335,0.162035,0.206672,0.248804,0.149167,0.0996818,0.998464,0.996931,0.133840
27,0.115167,0.111444,0.111888,0.116916,,0.139892,0.168443,0.213017,0.255332,0.154012,0.102615,0.998372,0.996747,0.135110
28,0.113318,0.109541,0.109969,0.115250,,0.139086,0.167426,0.211350,0.250972,0.152114,0.100696,0.998176,0.996356,0.135714
29,0.108052,0.103868,0.104166,0.109249,,0.133132,0.161015,0.204418,0.240390,0.145536,0.0954253,0.997760,0.995525,0.135956
30,0.101978,0.0974792,0.0974742,0.102168,,0.125766,0.152330,0.195286,0.227481,0.137495,0.0895590,0.997273,0.994554,0.136132
31,0.0966302,0.0917463,0.0913159,0.0956537,,0.118463,0.143528,0.184448,0.215886,0.129709,0.0845074,0.996737,0.993484,0.136444
32,0.0926071,0.0873552,0.0866005,0.0906253,,0.111775,0.136203,0.174173,0.205981,0.123165,0.0808644,0.996331,0.992675,0.136855
33,0.0896485,0.0841529,0.0831661,0.0868358,,0.106788,0.130294,0.164494,0.199104,0.118060,0.0782994,0.996035,0.992086,0.137049
34,0.0875231,0.0818830,0.0807022,0.0840300,,0.102889,0.125158,0.156987,0.194753,0.114241,0.0765369,0.995867,0.991751,0.136804
35,0.0864150,0.0807158,0.0794350,0.0822741,,0.100328,0.121036,0.151719,0.191530,0.111682,0.0757806,0.995840,0.991698,0.136058
36,0.0864412,0.0807733,0.0794371,0.0819099,,0.0992915,0.118347,0.149089,0.189645,0.110617,0.0761184,0.995992,0.991999,0.135310
37,0.0879155,0.0823740,0.0810816,0.0833632,,0.100450,0.118912,0.150301,0.190175,0.111822,0.0777457,0.996298,0.992610,0.134931
38,0.0909669,0.0854652,0.0842533,0.0866098,,0.104008,0.123265,0.155933,0.195291,0.115724,0.0805985,0.996551,0.993115,0.134453
39,0.0948461,0.0893678,0.0881886,0.0906589,,0.108959,0.129854,0.163698,0.203240,0.121102,0.0840732,0.996711,0.993433,0.133184
40,0.0986089,0.0930924,0.0918670,0.0944028,,0.114090,0.136258,0.172200,0.211990,0.126564,0.0873209,0.996718,0.993446,0.130856
41,0.102146,0.0964472,0.0951027,0.0977377,,0.118661,0.142090,0.181044,0.220136,0.131671,0.0902697,0.996602,0.993216,0.127838
42,0.105319,0.0995732,0.0981286,0.100932,,0.122929,0.147433,0.189841,0.227873,0.136504,0.0929611,0.996582,0.993176,0.124570
43,0.107904,0.102251,0.100835,0.104020,,0.126742,0.152549,0.198383,0.236135,0.141102,0.0951449,0.996701,0.993413,0.121585
44,0.109415,0.103660,0.102386,0.105988,,0.129293,0.157131,0.205472,0.244198,0.144693,0.0961221,0.996671,0.993354,0.119292
45,0.109748,0.103997,0.102836,0.106926,,0.130491,0.160509,0.210599,0.252098,0.147151,0.0959935,0.996643,0.993297,0.117211
46,0.109653,0.103626,0.102735,0.106922,,0.130735,0.163061,0.214277,0.260673,0.148960,0.0953292,0.996460,0.992932,0.114863
47,0.109633,0.103434,0.102622,0.106790,,0.130811,0.164748,0.217454,0.269767,0.150657,0.0948301,0.996295,0.992604,0.111594
48,0.109900,0.103655,0.103065,0.107035,,0.130842,0.166049,0.219922,0.278556,0.152378,0.0948476,0.996325,0.992664,0.106626
56,0.152711,0.146720,0.143013,0.148767,,0.176497,0.210527,0.247088,0.308920,0.191780,0.136566,0.997292,0.994592,0.118804
57,0.152076,0.146931,0.143377,0.149449,,0.178143,0.212422,0.250207,0.315298,0.193488,0.136155,0.997556,0.995118,0.119971
58,0.154211,0.149703,0.146627,0.152951,,0.183125,0.219431,0.260128,0.328812,0.199373,0.138015,0.997798,0.995600,0.119069
59,0.159778,0.155943,0.153619,0.160197,,0.192027,0.231914,0.277001,0.348948,0.209928,0.143012,0.998106,0.996215,0.116731
60,0.167510,0.164272,0.162548,0.169791,,0.203218,0.247552,0.295413,0.372600,0.222863,0.149976,0.998336,0.996674,0.113841
61,0.174786,0.172191,0.171272,0.178967,,0.214414,0.261198,0.310804,0.392395,0.234503,0.156765,0.998540,0.997081,0.110965
62,0.180541,0.178247,0.178067,0.186425,,0.223159,0.271080,0.320829,0.404583,0.242866,0.162225,0.998647,0.997296,0.108513
63,0.185248,0.183227,0.183401,0.192310,,0.229847,0.278733,0.327235,0.412150,0.249019,0.166809,0.998691,0.997384,0.106845
64,0.190302,0.188287,0.188745,0.198087,,0.235731,0.285697,0.333714,0.419732,0.255037,0.171670,0.998751,0.997503,0.106135
65,0.196611,0.194092,0.194429,0.203768,,0.241195,0.293207,0.341528,0.428845,0.261709,0.177472,0.998777,0.997556,0.106793
66,0.202139,0.199599,0.199707,0.208686,,0.246439,0.298775,0.348926,0.437373,0.267705,0.182791,0.998851,0.997704,0.108707
67,0.205655,0.203366,0.202988,0.212142,,0.250046,0.303202,0.355469,0.446457,0.272416,0.186106,0.998901,0.997804,0.110933
68,0.207664,0.205889,0.205566,0.214710,,0.254223,0.307880,0.361681,0.455955,0.276696,0.187886,0.998927,0.997855,0.111883
69,0.209666,0.208660,0.208424,0.218202,,0.259746,0.313932,0.368986,0.465216,0.281604,0.189579,0.998917,0.997836,0.110842
70,0.212850,0.212183,0.212234,0.222968,,0.266373,0.321224,0.376763,0.473543,0.287267,0.192185,0.998857,0.997715,0.108232
71,0.216656,0.216215,0.216195,0.227773,,0.272429,0.328006,0.382812,0.478829,0.292364,0.195471,0.998776,0.997554,0.105684
72,0.219502,0.218761,0.218558,0.230641,,0.275848,0.331587,0.384916,0.479270,0.294885,0.197900,0.998694,0.997389,0.104318
73,0.219672,0.218602,0.218048,0.230209,,0.275627,0.331155,0.382934,0.475132,0.293922,0.197935,0.998608,0.997219,0.104369
74,0.218521,0.217091,0.216378,0.228314,,0.274240,0.329480,0.381052,0.472445,0.292190,0.196646,0.998533,0.997069,0.105168
75,0.218862,0.217385,0.216551,0.228395,,0.275547,0.330766,0.384726,0.477290,0.293690,0.196674,0.998496,0.996993,0.106227
76,0.221618,0.220268,0.219512,0.231356,,0.280712,0.336451,0.393814,0.489409,0.299143,0.198872,0.998470,0.996942,0.107089
77,0.224008,0.223111,0.222780,0.234988,,0.286311,0.342221,0.402033,0.500262,0.304464,0.200971,0.998473,0.996949,0.107452
78,0.223268,0.223147,0.223126,0.235586,,0.287881,0.343517,0.402807,0.501942,0.305159,0.200501,0.998467,0.996936,0.106992
79,0.219809,0.220415,0.220388,0.233033,,0.285118,0.340392,0.397074,0.496340,0.301571,0.197602,0.998439,0.996880,0.105802
80,0.216245,0.217350,0.217409,0.229978,,0.281873,0.337452,0.390795,0.491397,0.297812,0.194444,0.998398,0.996798,0.104129
81,0.213977,0.215843,0.215748,0.228486,,0.279967,0.336477,0.388144,0.490657,0.296162,0.192445,0.998383,0.996768,0.102468
82,0.213164,0.215307,0.215158,0.228002,,0.279187,0.337301,0.388465,0.493517,0.296263,0.191478,0.998381,0.996764,0.101113
83,0.211862,0.199974,0.214171,0.226856,,0.277519,0.336261,0.387074,0.494691,0.293551,0.184741,0.996653,0.993318,0.100275
