Depth,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000,0.0800000,0.100000,mean ratio,slope,r,r-squared,normalizer
20,0.00160214,0.00166888,,0.00181535,0.00184716,0.00187475,0.00170496,0.00144858,0.00157518,0.00169213,0.00162030,0.997432,0.994871,4.94414
21,0.00162945,0.00170270,,0.00186663,0.00189576,0.00195925,0.00177281,0.00149292,0.00154793,0.00173343,0.00164727,0.996958,0.993925,5.15608
22,0.00174896,0.00182692,,0.00200947,0.00202072,0.00213437,0.00193332,0.00161862,0.00154613,0.00185481,0.00176803,0.996815,0.993639,5.28818
23,0.00196809,0.00204689,,0.00225333,0.00225294,0.00241834,0.00217925,0.00183480,0.00162203,0.00207196,0.00198777,0.996867,0.993744,5.38346
24,0.00224890,0.00233529,,0.00257796,0.00256079,0.00276065,0.00248512,0.00206113,0.00177030,0.00235002,0.00227377,0.996772,0.993555,5.45955
25,0.00254182,0.00263881,,0.00291006,0.00288963,0.00310571,0.00279430,0.00224747,0.00195104,0.00263485,0.00257451,0.996718,0.993448,5.51902
26,0.00278172,0.00289385,,0.00317987,0.00318094,0.00336354,0.00301903,0.00236869,0.00214521,0.00286661,0.00282478,0.996675,0.993361,5.56049
27,0.00288253,0.00300465,,0.00332115,0.00333016,0.00348812,0.00311894,0.00242321,0.00231674,0.00298569,0.00292878,0.996375,0.992762,5.58800
28,0.00284294,0.00296927,,0.00330895,0.00332753,0.00347824,0.00308292,0.00239059,0.00239277,0.00297415,0.00288670,0.995933,0.991883,5.58483
29,0.00271630,0.00283828,,0.00319380,0.00323027,0.00339675,0.00297907,0.00229992,0.00237558,0.00287875,0.00275144,0.995367,0.990756,5.53533
30,0.00259307,0.00270635,,0.00307707,0.00311614,0.00330888,0.00286737,0.00220978,0.00231059,0.00277366,0.00262048,0.994830,0.989687,5.43119
31,0.00250678,0.00261459,,0.00298938,0.00302749,0.00322002,0.00279249,0.00214267,0.00225963,0.00269413,0.00253026,0.994576,0.989181,5.28003
32,0.00246458,0.00256834,,0.00292177,0.00297434,0.00314557,0.00274614,0.00212924,0.00225471,0.00265059,0.00248547,0.994912,0.989850,5.11683
33,0.00245791,0.00255613,,0.00289987,0.00295055,0.00307683,0.00274116,0.00216477,0.00232175,0.00264612,0.00247593,0.995415,0.990851,4.94339
34,0.00247651,0.00257024,,0.00290116,0.00293920,0.00304294,0.00277289,0.00224291,0.00247040,0.00267703,0.00248963,0.996097,0.992209,4.75781
35,0.00248429,0.00256529,,0.00288666,0.00289416,0.00299438,0.00277318,0.00229415,0.00262015,0.00268903,0.00249096,0.996792,0.993595,4.65671
36,0.00243174,0.00250008,,0.00280172,0.00277058,0.00287949,0.00268749,0.00221335,0.00260158,0.00261075,0.00243806,0.997284,0.994576,4.76530
37,0.00236503,0.00242517,,0.00270240,0.00265587,0.00277013,0.00257532,0.00202173,0.00240441,0.00249001,0.00237870,0.997424,0.994855,5.03530
