Depth,ratio,MS
20,0.000565748,14.5390
21,0.000636295,13.5220
22,0.000695053,13.5060
23,0.000732310,14.4890
24,0.000845282,14.4730
25,0.000897831,15.4560
26,0.000985182,15.4400
27,0.000967095,16.4230
28,0.000960478,16.4070
29,0.000921930,16.3900
30,0.000872897,16.3740
31,0.000833023,16.3570
32,0.000801653,16.3410
33,0.000779157,16.3240
34,0.000810980,15.3080
35,0.000797057,15.2910
36,0.000794410,15.2750
37,0.000807941,15.2580
38,0.000782958,16.2420
39,0.000809671,16.2250
40,0.000883209,15.2090
41,0.000955651,14.1920
42,0.000959074,14.1760
43,0.00103196,13.1590
44,0.00102488,13.1430
45,0.000938794,14.1270
46,0.000989804,13.1100
47,0.000963222,13.0940
48,0.000924247,13.0780
57,0.00119512,15.8820
58,0.00127832,14.8720
59,0.00129297,14.8630
60,0.00140978,13.8540
61,0.00154215,12.8450
62,0.00155490,12.8360
63,0.00156926,12.8260
64,0.00173541,11.8170
65,0.00165977,12.8080
66,0.00174174,12.7980
67,0.00156497,14.7890
68,0.00159595,14.7800
69,0.00159761,14.7710
70,0.00169925,13.7610
71,0.00182226,12.7520
72,0.00182493,12.7430
73,0.00182978,12.7340
74,0.00183602,12.7240
75,0.00172200,13.7150
76,0.00175775,13.7060
77,0.00178329,13.6970
78,0.00177282,13.6870
79,0.00172658,13.6780
80,0.00180336,12.6690
81,0.00175557,12.6600
82,0.00187305,11.6510
83,0.00170276,12.6410
84,0.00167595,12.6320
85,0.00178980,11.6230
86,0.00177200,11.6140
87,0.00163788,12.6040
88,0.00153869,13.5950
89,0.00156491,13.5860
90,0.00159070,13.5760
91,0.00162025,13.5670
92,0.00165864,13.5580
93,0.00170344,13.5490
94,0.00174840,13.5400
95,0.00166649,14.5300
96,0.00169332,14.5210
97,0.00170798,14.5120
98,0.00171911,14.5030
99,0.00186848,13.4930
100,0.00177782,14.4840
101,0.00171743,15.4750
102,0.00178457,15.4660
103,0.00186313,15.4570
104,0.00181757,16.4470
105,0.00186086,16.4380
106,0.00185773,16.4290
107,0.00181355,16.4200
108,0.00174743,16.4110
109,0.00169478,16.4010
110,0.00167162,16.3920
111,0.00167492,16.3830
112,0.00159617,17.3740
113,0.00162695,17.3650
114,0.00158133,18.3550
115,0.00155582,19.3460
116,0.00153927,20.3370
117,0.00158474,20.3280
118,0.00152939,21.3190
119,0.00145540,22.3090
120,0.00143732,22.3000
121,0.00135425,23.2910
122,0.00133529,23.2820
123,0.00132093,23.2730
124,0.00131495,23.2630
125,0.00138000,22.2540
126,0.00133951,23.2450
127,0.00142784,22.2360
128,0.00139434,23.2270
129,0.00148934,22.2170
130,0.00152206,22.2080
131,0.00155065,22.1990
132,0.00156550,22.1900
133,0.00163337,21.1810
134,0.00169065,20.1710
135,0.00185062,18.1620
136,0.00173680,19.1530
137,0.00171688,19.1440
138,0.00177105,18.1350
139,0.00170347,18.1260
140,0.00172127,17.1160
141,0.00175357,16.1070
142,0.00160694,17.0980
143,0.00150768,18.0890
144,0.00152675,18.0800
145,0.00156044,18.0710
146,0.00157435,18.0620
147,0.00151754,18.0530
148,0.00136925,18.0440
157,0.00137162,20.5270
158,0.00140758,20.4910
159,0.00149499,19.4540
160,0.00149753,19.4170
161,0.00148878,19.3800
162,0.00154038,18.3440
163,0.00148728,18.3070
164,0.00159540,16.2690
165,0.00162536,15.2320
166,0.00167969,14.1950
167,0.00152837,15.1580
168,0.00160431,14.1200
169,0.00158161,14.0830
170,0.00157711,14.0470
171,0.00150169,15.0100
172,0.00147063,15.9730
173,0.00147576,16.9360
174,0.00158150,16.8990
175,0.00159646,17.8610
176,0.00177965,16.8250
177,0.00173510,17.7880
178,0.00176405,17.7500
179,0.00167621,18.7140
180,0.00176761,17.6770
181,0.00167109,18.6400
182,0.00167884,18.6030
183,0.00189983,16.5670
184,0.00181244,17.5300
185,0.00164580,19.4930
186,0.00176483,18.4550
187,0.00171972,19.4190
188,0.00178173,19.3820
189,0.00183950,19.3450
190,0.00180018,20.3080
191,0.00184861,20.2720
192,0.00179387,21.2340
193,0.00180327,21.1970
194,0.00178359,21.1600
195,0.00183174,20.1230
196,0.00188194,19.0860
197,0.00176297,20.0490
198,0.00196550,18.0130
199,0.00190634,18.9760
200,0.00197578,18.9390
201,0.00195990,19.9020
202,0.00185782,21.8660
203,0.00169226,24.8290
204,0.00169310,25.7910
205,0.00164926,27.7550
206,0.00174444,27.7180
207,0.00191473,26.6810
208,0.00191090,27.6440
209,0.00199178,26.6070
210,0.00203767,25.5700
211,0.00207806,24.5330
212,0.00212242,23.4970
213,0.00216976,22.4600
214,0.00212144,22.4230
215,0.00208307,22.3860
216,0.00198228,23.3500
217,0.00191646,24.3130
218,0.00186668,25.2760
219,0.00181200,26.2390
220,0.00174772,27.2020
221,0.00174383,27.1650
222,0.00181014,26.1290
223,0.00175389,27.0920
224,0.00170824,28.0550
225,0.00166315,29.0180
226,0.00167447,28.9820
227,0.00164862,29.9450
228,0.00162646,31.9080
229,0.00157964,35.8710
230,0.00152136,41.8350
231,0.00150593,47.7980
232,0.00148801,54.7610
233,0.00146202,62.7240
234,0.00146625,68.6870
235,0.00147739,71.6500
236,0.00153994,67.6140
237,0.00157754,60.5770
