x	Curve1
0.308031	50
0.437044	48.6364
0.567057	47.7273
0.70207	49.0909
0.772077	50.9091
0.907091	52.2727
1.10911	54.0909
1.17812	55.4545
1.31213	56.3636
1.44214	55.4545
1.57716	56.8182
1.71117	57.7273
1.84118	56.8182
1.9692	55
2.0312	53.1818
2.16522	54.0909
2.23422	55.4545
2.30423	57.2727
2.44024	59.0909
2.57526	60.4545
2.71027	61.8182
2.84228	61.8182
2.9713	60.4545
3.09931	58.6364
3.23032	58.1818
3.42634	57.2727
3.56236	59.0909
3.63136	60.4545
3.82838	60
3.9574	58.6364
4.15242	57.2727
4.28143	55.9091
4.40944	54.0909
4.54445	55.4545
4.81048	56.3636
5.0105	57.2727
5.20652	56.3636
5.46955	55.9091
5.66757	55.9091
5.86259	54.5455
6.12661	54.5455
6.39064	54.5455
6.52665	56.3636
6.66167	57.7273
6.79668	59.0909
6.9977	60.4545
7.19372	59.5455
7.25573	57.7273
7.31773	55.9091
7.51375	55
7.64676	55.4545
7.78278	57.2727
7.85279	59.0909
7.9878	60.4545
8.12281	61.8182
8.32183	62.2727
8.58586	62.2727
8.78488	62.7273
8.9839	63.1818
9.18392	64.0909
9.37894	62.7273
9.57596	62.2727
9.77398	62.2727
10.036	61.3636
10.099	60
10.227	58.1818
10.422	56.8182
10.6221	57.7273
10.8171	56.3636
10.9501	56.8182
11.0791	55.4545
11.1421	54.0909
11.3371	52.7273
11.6022	53.1818
11.8022	54.0909
11.9382	55.9091
12.0722	56.8182
12.3382	57.7273
12.4732	59.0909
12.6093	60.9091
12.7453	62.7273
12.8143	64.0909
12.9503	65.9091
13.0833	66.3636
13.2123	65
13.4783	65.9091
13.6754	65.4545
13.8114	67.2727
13.8794	68.1818
14.0084	66.8182
14.0704	65
14.2004	64.0909
14.3324	64.0909
14.4654	64.5455
14.6015	66.3636
14.7325	65.9091
14.9265	64.0909
15.0565	63.1818
15.3225	64.0909
15.5186	63.1818
15.6466	61.3636
15.7756	60
15.9716	59.0909
16.1696	59.0909
16.2976	57.2727
16.4976	58.1818
16.6987	59.5455
16.8957	59.0909
17.0307	60.4545
17.2287	60.4545
17.3647	62.2727
17.4997	63.6364
17.6358	65.4545
17.8338	65.4545
18.0288	64.0909
18.1588	63.1818
18.3538	61.8182
18.5519	61.8182
18.6809	60.4545
18.8109	59.5455
18.9459	60.9091
19.0819	62.7273
19.1509	64.0909
19.2869	65.9091
19.4229	67.7273
19.556	68.1818
19.755	68.6364
19.885	67.7273
20.013	65.9091
20.21	65.4545
20.339	64.0909
20.471	64.0909
20.6071	65.9091
20.7421	67.2727
20.8751	67.7273
21.1391	67.7273
21.2011	65.9091
21.3961	64.5455
21.5942	64.5455
21.7942	65.4545
21.9892	64.0909
22.1842	62.7273
22.3842	63.6364
22.5803	62.7273
22.8453	63.1818
23.0453	64.0909
23.1753	63.1818
23.3033	61.3636
23.3653	59.5455
23.4273	57.7273
23.6234	56.8182
23.8214	56.8182
24.0854	56.8182
24.2194	57.7273
24.4164	57.2727
24.6785	56.3636
24.8745	55.4545
25.2715	55.9091
25.4065	57.2727
25.5426	59.0909
25.6776	60.4545
25.7476	62.2727
25.8836	64.0909
