x	Curve1
0.213523	0.0362968
0.320285	0.0374823
0.427046	0.0398529
0.533808	0.0410384
0.533808	0.0410384
0.640569	0.0445942
0.747331	0.0457796
0.747331	0.0457796
0.854093	0.0490391
0.854093	0.0490391
0.854093	0.0490391
0.960854	0.0537802
0.960854	0.0537802
1.06762	0.0585212
1.06762	0.0585212
1.17438	0.0608918
1.28114	0.0608921
1.3879	0.0620775
1.3879	0.0620775
1.49466	0.0656333
1.49466	0.0656333
1.60142	0.0703743
1.60142	0.0703743
1.60142	0.0703743
1.70819	0.0774857
1.70819	0.0774857
1.81495	0.0777823
1.92171	0.074227
1.92171	0.074227
2.02847	0.0748198
2.13523	0.0783756
2.13523	0.0783756
2.13523	0.0783756
2.24199	0.0851907
2.45552	0.081932
2.66904	0.0765992
2.7758	0.0760069
2.88256	0.0771923
2.88256	0.0771923
2.88256	0.0771923
2.98932	0.0819333
2.98932	0.0819333
3.09609	0.0854891
3.09609	0.0854891
3.20285	0.0926005
3.20285	0.0926005
3.30961	0.0937859
3.30961	0.0937859
3.30961	0.0937859
3.41637	0.098527
3.41637	0.098527
3.52313	0.102083
3.52313	0.102083
3.62989	0.105639
3.62989	0.105639
3.73665	0.11038
3.73665	0.11038
3.95018	0.11275
4.05694	0.111566
4.05694	0.111566
4.1637	0.106825
4.1637	0.106825
4.27046	0.104455
4.37722	0.102085
4.37722	0.102085
4.48399	0.0997148
4.59075	0.0988261
4.69751	0.101197
4.80427	0.102382
4.91103	0.104457
5.01779	0.105642
5.12456	0.108013
5.23132	0.109198
5.33808	0.109198
5.44484	0.108013
5.5516	0.105643
5.65836	0.102088
5.65836	0.102088
5.76512	0.0997179
5.76512	0.0997179
5.87189	0.0949775
5.87189	0.0949775
5.87189	0.0949775
5.97865	0.0825333
6.08541	0.0751261
6.19217	0.0680153
6.29893	0.0635711
6.40569	0.0588306
6.51246	0.0564605
6.51246	0.0564605
6.51246	0.0564605
6.61922	0.05172
6.72598	0.0529055
6.72598	0.0529055
6.83274	0.0552761
6.9395	0.0564616
6.9395	0.0564616
7.04626	0.0588322
7.15302	0.0600177
7.25979	0.062092
7.36655	0.0632774
7.47331	0.0644629
7.58007	0.0656483
7.68683	0.0668338
7.90036	0.0659454
8.00712	0.0647605
8.11388	0.0638719
8.22064	0.062687
8.3274	0.061502
8.54093	0.0603174
8.75445	0.0612068
8.86121	0.0623922
8.96797	0.0635777
9.07473	0.0647631
9.18149	0.0656523
9.28826	0.0668377
9.50178	0.066542
9.60854	0.0653571
9.82206	0.0644687
10.0356	0.0650618
10.1423	0.0662473
10.2491	0.0674327
10.3559	0.0686182
10.4626	0.0695073
10.5694	0.0706928
10.6762	0.0695078
10.7829	0.0683229
10.8897	0.0659528
10.8897	0.0659528
10.9964	0.0612123
10.9964	0.0612123
11.1032	0.0564719
11.1032	0.0564719
11.21	0.0552869
11.21	0.0552869
11.3167	0.0517316
11.3167	0.0517316
11.4235	0.0484727
11.4235	0.0484727
11.5302	0.0449174
11.637	0.0461028
11.7438	0.0472883
11.8505	0.0484737
11.9573	0.0520295
11.9573	0.0520295
