# Source: Daly & Le Goff (1996), Tbl 2. Typo corrected (1525: 54.57 to 64.57)
# doi: 10.1016/0031-9201(95)03075-1
Date Nsi Wsi Wsa Inc Dec a95 ax ay omega
-100 4 3.3 71.0 67.05 -4.14 0.45 0.45 0.54 45.11
-75 5 4.9 82.4 67.42 -4.79 0.44 0.42 0.52 37.39
-50 8 4.7 67.4 67.48 -4.27 0.53 0.52 0.62 45.46
-25 7 4.4 67.4 67.35 -3.37 0.54 0.54 0.64 39.56
0 8 7.2 124.2 66.19 -1.97 0.46 0.43 0.48 166.40
25 17 14.3 213.6 65.44 -2.52 0.39 0.34 0.41 160.72
50 23 17.8 249.7 64.72 -2.86 0.35 0.31 0.38 165.14
75 22 16.4 203.7 64.05 -3.02 0.38 0.33 0.42 169.67
100 14 10.8 121.2 63.17 -3.18 0.45 0.41 0.50 178.69
125 18 9.4 94.5 62.11 -2.91 0.58 0.51 0.64 7.96
150 20 13.1 151.3 60.99 -3.11 0.46 0.43 0.52 10.74
175 19 14.3 185.3 60.52 -3.05 0.43 0.40 0.45 18.10
200 15 12.6 180.9 60.32 -3.28 0.44 0.41 0.45 22.54
225 18 8.0 131.3 60.43 -3.09 0.53 0.49 0.55 37.09
250 16 9.6 140.3 61.12 -3.36 0.45 0.42 0.51 43.77
275 12 10.3 136.9 61.24 -3.02 0.42 0.40 0.52 45.22
300 11 9.2 117.6 61.23 -2.91 0.43 0.42 0.54 45.99
325 10 4.6 58.2 61.42 -1.90 0.54 0.65 0.76 37.21
350 5 2.1 25.4 61.94 -1.72 1.17 1.10 1.14 171.17
375 6 3.6 39.2 63.08 -1.94 1.03 0.91 0.96 130.19
400 5 3.6 39.1 63.23 -2.05 1.06 0.89 0.97 121.25
425 7 4.6 43.2 63.35 -1.39 0.95 0.80 0.86 137.26
450 6 3.7 30.7 63.37 -0.39 1.03 0.85 1.00 166.23
475 5 3.2 23.9 63.73 0.24 1.01 0.77 1.19 173.39
500 4 2.4 18.8 64.23 0.46 1.20 0.79 1.48 173.21
525 6 1.6 18.6 65.71 1.43 1.41 0.77 1.64 167.86
550 3 1.2 26.0 67.89 3.74 0.87 0.64 0.90 170.44
575 5 1.6 39.9 68.18 4.70 0.73 0.57 0.56 177.16
600 4 2.0 50.6 68.39 5.10 0.67 0.54 0.83 0.57
625 7 2.8 81.8 69.00 3.17 0.52 0.51 0.64 25.04
650 9 4.6 136.0 69.76 1.44 0.38 0.42 0.48 36.69
675 9 5.7 156.0 70.27 0.93 0.35 0.42 0.44 38.03
700 7 5.2 127.6 70.56 1.03 0.40 0.49 0.49 56.77
725 8 3.4 64.3 70.73 2.26 0.66 0.73 0.78 40.89
750 5 1.6 19.5 70.52 5.20 1.51 1.35 1.61 30.61
775 4 1.1 14.6 70.41 7.89 1.84 1.58 1.91 177.34
800 4 1.1 15.2 71.40 8.90 1.89 1.58 1.99 0.71
825 6 1.5 19.0 72.06 10.22 1.57 1.34 1.68 17.10
850 4 2.1 25.4 72.08 10.97 1.24 1.04 1.38 26.91
875 6 3.0 34.7 70.24 14.22 1.40 0.82 1.72 28.51
900 8 4.1 47.3 68.09 17.78 1.20 0.65 1.51 26.67
925 8 4.0 47.0 66.54 19.38 1.01 0.52 1.28 22.31
950 7 4.2 51.2 65.41 20.27 0.70 0.56 0.86 14.41
975 7 3.5 43.7 64.80 19.50 0.70 0.50 0.96 15.37
1000 9 3.9 47.4 63.95 18.98 0.69 0.55 0.90 1.33
1025 8 4.3 50.1 62.84 18.06 0.72 0.56 0.89 166.04
1050 6 3.4 36.9 62.27 17.65 0.84 0.67 1.00 162.67
