# Source: Gallet et al. (2002), Table 3
# doi: 10.1016/S0031-9201(02)00030-4
age-BCE Nsi Wsi Wsa Inc Dec a95 ax ay omega
950 4 3.3 40.1 63.8 15.8 2.1 1.4 2.1 136.1
900 8 4.2 64.3 65.5 20.9 1.9 1.3 2.1 130.2
850 10 5.5 91.2 67.2 26.8 1.4 1.2 1.6 122.2
800 9 7.0 111.4 68.0 28.5 1.2 1.1 1.2 86.5
750 10 7.2 104.4 68.3 27.4 1.1 1.1 1.2 67.1
700 9 5.3 70.1 69.2 26.5 1.3 1.2 1.4 40.4
650 9 3.2 39.6 71.0 22.3 1.7 1.6 1.9 73.1
600 8 3.6 41.7 71.7 9.1 1.4 1.1 1.8 118.9
550 9 6.2 78.8 71.5 7.4 1.0 0.9 1.2 117.9
500 9 6.8 86.5 70.9 5.4 1.0 0.9 1.2 121.5
450 12 7.0 87.4 70.3 2.9 1.2 1.0 1.3 127.5
400 13 6.6 76.6 68.6 -4.2 1.3 1.2 1.3 107.9
350 10 7.9 86.5 68.2 -5.7 1.1 1.0 1.2 48.4
300 9 7.0 75.5 68.4 -6.2 1.2 1.1 1.2 53.2
250 11 5.0 53.5 67.8 -5.3 1.4 1.3 1.4 43.4
200 11 5.8 58.7 66.7 -2.1 1.1 1.1 1.2 121.5
150 18 14.3 195.4 66.6 -1.6 0.6 0.6 0.7 138.0
100 20 19.0 257.2 66.5 -3.2 0.6 0.6 0.6 138.5
50 19 16.9 235.5 66.4 -3.9 0.6 0.6 0.7 141.8
